index,op,name,z,type,value,probability
3,Boundary,,,posterior,-65549.5,0
3,Boundary,,,posterior,-65544.5,0
3,Boundary,,,posterior,-65539.5,0
3,Boundary,,,posterior,-65534.5,9.47E-08
3,Boundary,,,posterior,-65529.5,0
3,Boundary,,,posterior,-65524.5,0
3,Boundary,,,posterior,-65519.5,0
3,Boundary,,,posterior,-65514.5,0
3,Boundary,,,posterior,-65509.5,4.72E-08
3,Boundary,,,posterior,-65504.5,0
3,Boundary,,,posterior,-65499.5,0
3,Boundary,,,posterior,-65494.5,0
3,Boundary,,,posterior,-65489.5,0
3,Boundary,,,posterior,-65484.5,0
3,Boundary,,,posterior,-65479.5,0
3,Boundary,,,posterior,-65474.5,0
3,Boundary,,,posterior,-65469.5,0
3,Boundary,,,posterior,-65464.5,0
3,Boundary,,,posterior,-65459.5,0
3,Boundary,,,posterior,-65454.5,0
3,Boundary,,,posterior,-65449.5,0
3,Boundary,,,posterior,-65444.5,0
3,Boundary,,,posterior,-65439.5,0
3,Boundary,,,posterior,-65434.5,0
3,Boundary,,,posterior,-65429.5,0
3,Boundary,,,posterior,-65424.5,0
3,Boundary,,,posterior,-65419.5,4.72E-08
3,Boundary,,,posterior,-65414.5,0
3,Boundary,,,posterior,-65409.5,0
3,Boundary,,,posterior,-65404.5,0
3,Boundary,,,posterior,-65399.5,0
3,Boundary,,,posterior,-65394.5,0
3,Boundary,,,posterior,-65389.5,0
3,Boundary,,,posterior,-65384.5,0
3,Boundary,,,posterior,-65379.5,0
3,Boundary,,,posterior,-65374.5,0
3,Boundary,,,posterior,-65369.5,0
3,Boundary,,,posterior,-65364.5,0
3,Boundary,,,posterior,-65359.5,0
3,Boundary,,,posterior,-65354.5,0
3,Boundary,,,posterior,-65349.5,0
3,Boundary,,,posterior,-65344.5,0
3,Boundary,,,posterior,-65339.5,0
3,Boundary,,,posterior,-65334.5,0
3,Boundary,,,posterior,-65329.5,0
3,Boundary,,,posterior,-65324.5,0
3,Boundary,,,posterior,-65319.5,0
3,Boundary,,,posterior,-65314.5,0
3,Boundary,,,posterior,-65309.5,0
3,Boundary,,,posterior,-65304.5,0
3,Boundary,,,posterior,-65299.5,0
3,Boundary,,,posterior,-65294.5,0
3,Boundary,,,posterior,-65289.5,0
3,Boundary,,,posterior,-65284.5,0
3,Boundary,,,posterior,-65279.5,0
3,Boundary,,,posterior,-65274.5,0
3,Boundary,,,posterior,-65269.5,0
3,Boundary,,,posterior,-65264.5,0
3,Boundary,,,posterior,-65259.5,0
3,Boundary,,,posterior,-65254.5,0
3,Boundary,,,posterior,-65249.5,0
3,Boundary,,,posterior,-65244.5,0
3,Boundary,,,posterior,-65239.5,4.72E-08
3,Boundary,,,posterior,-65234.5,0
3,Boundary,,,posterior,-65229.5,0
3,Boundary,,,posterior,-65224.5,0
3,Boundary,,,posterior,-65219.5,4.72E-08
3,Boundary,,,posterior,-65214.5,0
3,Boundary,,,posterior,-65209.5,0
3,Boundary,,,posterior,-65204.5,0
3,Boundary,,,posterior,-65199.5,0
3,Boundary,,,posterior,-65194.5,0
3,Boundary,,,posterior,-65189.5,0
3,Boundary,,,posterior,-65184.5,0
3,Boundary,,,posterior,-65179.5,0
3,Boundary,,,posterior,-65174.5,0
3,Boundary,,,posterior,-65169.5,0
3,Boundary,,,posterior,-65164.5,0
3,Boundary,,,posterior,-65159.5,0
3,Boundary,,,posterior,-65154.5,0
3,Boundary,,,posterior,-65149.5,0
3,Boundary,,,posterior,-65144.5,0
3,Boundary,,,posterior,-65139.5,0
3,Boundary,,,posterior,-65134.5,0
3,Boundary,,,posterior,-65129.5,0
3,Boundary,,,posterior,-65124.5,0
3,Boundary,,,posterior,-65119.5,0
3,Boundary,,,posterior,-65114.5,0
3,Boundary,,,posterior,-65109.5,0
3,Boundary,,,posterior,-65104.5,0
3,Boundary,,,posterior,-65099.5,0
3,Boundary,,,posterior,-65094.5,0
3,Boundary,,,posterior,-65089.5,0
3,Boundary,,,posterior,-65084.5,0
3,Boundary,,,posterior,-65079.5,0
3,Boundary,,,posterior,-65074.5,0
3,Boundary,,,posterior,-65069.5,0
3,Boundary,,,posterior,-65064.5,0
3,Boundary,,,posterior,-65059.5,0
3,Boundary,,,posterior,-65054.5,0
3,Boundary,,,posterior,-65049.5,0
3,Boundary,,,posterior,-65044.5,0
3,Boundary,,,posterior,-65039.5,0
3,Boundary,,,posterior,-65034.5,0
3,Boundary,,,posterior,-65029.5,0
3,Boundary,,,posterior,-65024.5,0
3,Boundary,,,posterior,-65019.5,0
3,Boundary,,,posterior,-65014.5,0
3,Boundary,,,posterior,-65009.5,0
3,Boundary,,,posterior,-65004.5,0
3,Boundary,,,posterior,-64999.5,0
3,Boundary,,,posterior,-64994.5,0
3,Boundary,,,posterior,-64989.5,0
3,Boundary,,,posterior,-64984.5,0
3,Boundary,,,posterior,-64979.5,0
3,Boundary,,,posterior,-64974.5,0
3,Boundary,,,posterior,-64969.5,0
3,Boundary,,,posterior,-64964.5,4.72E-08
3,Boundary,,,posterior,-64959.5,0
3,Boundary,,,posterior,-64954.5,0
3,Boundary,,,posterior,-64949.5,0
3,Boundary,,,posterior,-64944.5,0
3,Boundary,,,posterior,-64939.5,0
3,Boundary,,,posterior,-64934.5,0
3,Boundary,,,posterior,-64929.5,0
3,Boundary,,,posterior,-64924.5,0
3,Boundary,,,posterior,-64919.5,0
3,Boundary,,,posterior,-64914.5,0
3,Boundary,,,posterior,-64909.5,0
3,Boundary,,,posterior,-64904.5,0
3,Boundary,,,posterior,-64899.5,0
3,Boundary,,,posterior,-64894.5,0
3,Boundary,,,posterior,-64889.5,0
3,Boundary,,,posterior,-64884.5,0
3,Boundary,,,posterior,-64879.5,0
3,Boundary,,,posterior,-64874.5,0
3,Boundary,,,posterior,-64869.5,0
3,Boundary,,,posterior,-64864.5,0
3,Boundary,,,posterior,-64859.5,0
3,Boundary,,,posterior,-64854.5,0
