index,op,name,z,type,value,probability
3,Boundary,,,posterior,-74134.5,0
3,Boundary,,,posterior,-74129.5,0
3,Boundary,,,posterior,-74124.5,1.7993E-06
3,Boundary,,,posterior,-74119.5,0.00000393
3,Boundary,,,posterior,-74114.5,0.000004261
3,Boundary,,,posterior,-74109.5,0.00000393
3,Boundary,,,posterior,-74104.5,0.000003504
3,Boundary,,,posterior,-74099.5,2.6989E-06
3,Boundary,,,posterior,-74094.5,0.000003551
3,Boundary,,,posterior,-74089.5,0.000003314
3,Boundary,,,posterior,-74084.5,0.000003456
3,Boundary,,,posterior,-74079.5,0.000003456
3,Boundary,,,posterior,-74074.5,0.000003172
3,Boundary,,,posterior,-74069.5,0.000003267
3,Boundary,,,posterior,-74064.5,3.0303E-06
3,Boundary,,,posterior,-74059.5,0.00000322
3,Boundary,,,posterior,-74054.5,0.000003172
3,Boundary,,,posterior,-74049.5,0.000003456
3,Boundary,,,posterior,-74044.5,2.6042E-06
3,Boundary,,,posterior,-74039.5,0.000003267
3,Boundary,,,posterior,-74034.5,0.000004025
3,Boundary,,,posterior,-74029.5,0.000004451
3,Boundary,,,posterior,-74024.5,0.00000322
3,Boundary,,,posterior,-74019.5,0.000003409
3,Boundary,,,posterior,-74014.5,0.000003598
3,Boundary,,,posterior,-74009.5,0.000003314
3,Boundary,,,posterior,-74004.5,0.000003883
3,Boundary,,,posterior,-73999.5,0.000003977
3,Boundary,,,posterior,-73994.5,3.1251E-06
3,Boundary,,,posterior,-73989.5,0.000003409
3,Boundary,,,posterior,-73984.5,2.6042E-06
3,Boundary,,,posterior,-73979.5,2.2254E-06
3,Boundary,,,posterior,-73974.5,0.000003267
3,Boundary,,,posterior,-73969.5,0.000003551
3,Boundary,,,posterior,-73964.5,0.000004072
3,Boundary,,,posterior,-73959.5,0.000003551
3,Boundary,,,posterior,-73954.5,0.000003172
3,Boundary,,,posterior,-73949.5,0.000003693
3,Boundary,,,posterior,-73944.5,0.000003977
3,Boundary,,,posterior,-73939.5,0.000003883
3,Boundary,,,posterior,-73934.5,2.4148E-06
3,Boundary,,,posterior,-73929.5,2.2728E-06
3,Boundary,,,posterior,-73924.5,2.2254E-06
3,Boundary,,,posterior,-73919.5,2.9829E-06
3,Boundary,,,posterior,-73914.5,2.9355E-06
3,Boundary,,,posterior,-73909.5,0.000003267
3,Boundary,,,posterior,-73904.5,3.0777E-06
3,Boundary,,,posterior,-73899.5,2.8883E-06
3,Boundary,,,posterior,-73894.5,2.7935E-06
3,Boundary,,,posterior,-73889.5,0.000003362
3,Boundary,,,posterior,-73884.5,2.8883E-06
3,Boundary,,,posterior,-73879.5,0.000003504
3,Boundary,,,posterior,-73874.5,2.5094E-06
3,Boundary,,,posterior,-73869.5,0.000003362
3,Boundary,,,posterior,-73864.5,2.6989E-06
3,Boundary,,,posterior,-73859.5,2.5568E-06
3,Boundary,,,posterior,-73854.5,3.0303E-06
3,Boundary,,,posterior,-73849.5,2.8409E-06
3,Boundary,,,posterior,-73844.5,0.00000322
3,Boundary,,,posterior,-73839.5,0.000003646
3,Boundary,,,posterior,-73834.5,3.0777E-06
3,Boundary,,,posterior,-73829.5,2.9355E-06
3,Boundary,,,posterior,-73824.5,2.3674E-06
3,Boundary,,,posterior,-73819.5,3.0303E-06
3,Boundary,,,posterior,-73814.5,0.00000393
3,Boundary,,,posterior,-73809.5,2.8883E-06
3,Boundary,,,posterior,-73804.5,2.8409E-06
3,Boundary,,,posterior,-73799.5,2.7462E-06
3,Boundary,,,posterior,-73794.5,3.0777E-06
3,Boundary,,,posterior,-73789.5,0.000003741
3,Boundary,,,posterior,-73784.5,2.6515E-06
3,Boundary,,,posterior,-73779.5,2.6515E-06
3,Boundary,,,posterior,-73774.5,2.7462E-06
3,Boundary,,,posterior,-73769.5,0.000003551
3,Boundary,,,posterior,-73764.5,2.4622E-06
3,Boundary,,,posterior,-73759.5,1.7045E-06
3,Boundary,,,posterior,-73754.5,0.000002178
3,Boundary,,,posterior,-73749.5,3.0303E-06
3,Boundary,,,posterior,-73744.5,3.0777E-06
3,Boundary,,,posterior,-73739.5,0.000003456
3,Boundary,,,posterior,-73734.5,2.6989E-06
3,Boundary,,,posterior,-73729.5,0.000003693
3,Boundary,,,posterior,-73724.5,0.000003504
3,Boundary,,,posterior,-73719.5,2.5568E-06
3,Boundary,,,posterior,-73714.5,2.8883E-06
3,Boundary,,,posterior,-73709.5,2.8883E-06
3,Boundary,,,posterior,-73704.5,1.7045E-06
3,Boundary,,,posterior,-73699.5,0.000003788
3,Boundary,,,posterior,-73694.5,2.6042E-06
3,Boundary,,,posterior,-73689.5,2.2728E-06
3,Boundary,,,posterior,-73684.5,0.000003314
3,Boundary,,,posterior,-73679.5,2.3674E-06
3,Boundary,,,posterior,-73674.5,2.4148E-06
3,Boundary,,,posterior,-73669.5,3.0303E-06
3,Boundary,,,posterior,-73664.5,2.8409E-06
3,Boundary,,,posterior,-73659.5,1.9887E-06
3,Boundary,,,posterior,-73654.5,2.6042E-06
3,Boundary,,,posterior,-73649.5,2.8883E-06
3,Boundary,,,posterior,-73644.5,2.6515E-06
3,Boundary,,,posterior,-73639.5,2.9829E-06
3,Boundary,,,posterior,-73634.5,0.000003314
3,Boundary,,,posterior,-73629.5,1.9887E-06
3,Boundary,,,posterior,-73624.5,3.0777E-06
3,Boundary,,,posterior,-73619.5,2.8883E-06
3,Boundary,,,posterior,-73614.5,2.7935E-06
3,Boundary,,,posterior,-73609.5,2.6515E-06
3,Boundary,,,posterior,-73604.5,2.5568E-06
3,Boundary,,,posterior,-73599.5,2.4622E-06
3,Boundary,,,posterior,-73594.5,3.1251E-06
3,Boundary,,,posterior,-73589.5,2.9829E-06
3,Boundary,,,posterior,-73584.5,2.5568E-06
3,Boundary,,,posterior,-73579.5,0.000002178
3,Boundary,,,posterior,-73574.5,2.6515E-06
3,Boundary,,,posterior,-73569.5,2.8409E-06
3,Boundary,,,posterior,-73564.5,2.9829E-06
3,Boundary,,,posterior,-73559.5,2.6989E-06
3,Boundary,,,posterior,-73554.5,0.000003456
3,Boundary,,,posterior,-73549.5,2.1307E-06
3,Boundary,,,posterior,-73544.5,2.5094E-06
3,Boundary,,,posterior,-73539.5,0.000003172
3,Boundary,,,posterior,-73534.5,2.2254E-06
3,Boundary,,,posterior,-73529.5,2.7935E-06
3,Boundary,,,posterior,-73524.5,1.9887E-06
3,Boundary,,,posterior,-73519.5,2.8883E-06
3,Boundary,,,posterior,-73514.5,0.000003693
3,Boundary,,,posterior,-73509.5,2.5094E-06
3,Boundary,,,posterior,-73504.5,0.000003456
3,Boundary,,,posterior,-73499.5,2.2728E-06
3,Boundary,,,posterior,-73494.5,0.000002178
3,Boundary,,,posterior,-73489.5,0.000003172
3,Boundary,,,posterior,-73484.5,2.3674E-06
3,Boundary,,,posterior,-73479.5,2.6989E-06
3,Boundary,,,posterior,-73474.5,1.9887E-06
3,Boundary,,,posterior,-73469.5,0.000003409
3,Boundary,,,posterior,-73464.5,0.000003835
3,Boundary,,,posterior,-73459.5,2.5094E-06
3,Boundary,,,posterior,-73454.5,2.4148E-06
3,Boundary,,,posterior,-73449.5,0.000003362
3,Boundary,,,posterior,-73444.5,1.9887E-06
3,Boundary,,,posterior,-73439.5,0.00000232
3,Boundary,,,posterior,-73434.5,2.7462E-06
3,Boundary,,,posterior,-73429.5,2.1307E-06
3,Boundary,,,posterior,-73424.5,2.6515E-06
3,Boundary,,,posterior,-73419.5,3.0303E-06
3,Boundary,,,posterior,-73414.5,2.2728E-06
3,Boundary,,,posterior,-73409.5,2.8409E-06
3,Boundary,,,posterior,-73404.5,1.8939E-06
3,Boundary,,,posterior,-73399.5,2.7462E-06
3,Boundary,,,posterior,-73394.5,2.4148E-06
3,Boundary,,,posterior,-73389.5,2.6989E-06
3,Boundary,,,posterior,-73384.5,2.9829E-06
3,Boundary,,,posterior,-73379.5,2.5094E-06
3,Boundary,,,posterior,-73374.5,2.8409E-06
3,Boundary,,,posterior,-73369.5,2.7462E-06
3,Boundary,,,posterior,-73364.5,2.6515E-06
3,Boundary,,,posterior,-73359.5,2.9829E-06
3,Boundary,,,posterior,-73354.5,3.0303E-06
3,Boundary,,,posterior,-73349.5,2.2254E-06
3,Boundary,,,posterior,-73344.5,0.00000232
3,Boundary,,,posterior,-73339.5,2.5094E-06
3,Boundary,,,posterior,-73334.5,2.7462E-06
3,Boundary,,,posterior,-73329.5,2.5568E-06
3,Boundary,,,posterior,-73324.5,2.9355E-06
3,Boundary,,,posterior,-73319.5,2.4148E-06
3,Boundary,,,posterior,-73314.5,2.7935E-06
3,Boundary,,,posterior,-73309.5,2.8409E-06
3,Boundary,,,posterior,-73304.5,0.00000322
3,Boundary,,,posterior,-73299.5,2.8883E-06
3,Boundary,,,posterior,-73294.5,3.1251E-06
3,Boundary,,,posterior,-73289.5,2.6515E-06
3,Boundary,,,posterior,-73284.5,2.9829E-06
3,Boundary,,,posterior,-73279.5,2.9355E-06
3,Boundary,,,posterior,-73274.5,2.5568E-06
3,Boundary,,,posterior,-73269.5,2.4622E-06
3,Boundary,,,posterior,-73264.5,0.00000322
3,Boundary,,,posterior,-73259.5,3.1251E-06
3,Boundary,,,posterior,-73254.5,2.6989E-06
3,Boundary,,,posterior,-73249.5,2.4622E-06
3,Boundary,,,posterior,-73244.5,2.3674E-06
3,Boundary,,,posterior,-73239.5,0.000003456
3,Boundary,,,posterior,-73234.5,0.000003788
3,Boundary,,,posterior,-73229.5,2.3674E-06
3,Boundary,,,posterior,-73224.5,2.8409E-06
3,Boundary,,,posterior,-73219.5,2.7935E-06
3,Boundary,,,posterior,-73214.5,0.00000322
3,Boundary,,,posterior,-73209.5,0.000003362
3,Boundary,,,posterior,-73204.5,2.6515E-06
3,Boundary,,,posterior,-73199.5,2.6515E-06
3,Boundary,,,posterior,-73194.5,2.2728E-06
3,Boundary,,,posterior,-73189.5,0.000003456
3,Boundary,,,posterior,-73184.5,1.9413E-06
3,Boundary,,,posterior,-73179.5,2.4622E-06
3,Boundary,,,posterior,-73174.5,3.0777E-06
3,Boundary,,,posterior,-73169.5,2.5568E-06
3,Boundary,,,posterior,-73164.5,2.6515E-06
3,Boundary,,,posterior,-73159.5,2.3674E-06
3,Boundary,,,posterior,-73154.5,2.4148E-06
3,Boundary,,,posterior,-73149.5,2.1307E-06
3,Boundary,,,posterior,-73144.5,2.7935E-06
3,Boundary,,,posterior,-73139.5,2.5568E-06
