
IntCal20	
R Combine 1 LACMP23-33228	35270	34795	35452	34606	
R Combine 2 LACMHC-142773	45504.5	44059.5	46188	43127.5	
R Combine 3 LACMHC-142779	41181	40439.5	41460	39895.5	
R Combine 4 LACMP23-35541	42822	42490	43024	42349	
R Combine 5 LACMP23-40642	31090	30940.5	31140	30840.5	
UCIAMS 191095	41406.5	40279	41890	39754.5	
UCIAMS 191096	41100	40005	41612	39487	
UCIAMS 191097	40861	39755	41352	39265.5	
UCIAMS 191098	41688.5	40620	42055.5	39996	
UCIAMS 191099	39466	37869.5	39941	37276	
UCIAMS 191100	41434.5	40329	41897	39791.5	
UCIAMS 191101	51879.5	46660		45908.5	
UCIAMS 191102	41084	39989.5	41590	39465	
UCIAMS 198205	41956.5	41137.5	42243.5	40636	
UCIAMS 198206	35180	34608	35427.5	34376	
UCIAMS 198207	36526	35768	36917.5	35447	
UCIAMS 198208	30103.5	29788.5	30175.5	29321.5	
UCIAMS 198294	43845.5	42569	44410.5	42360.5	
UCIAMS 198295	38321.5	37038	39084	36778	
UCIAMS 198296	54205.5	47996		47197.2	
UCIAMS 198297	33237.5	32246	33618.5	32061.5	
UCIAMS 198298	30793	30370.5	30951.5	30197.5	
UCIAMS 198302	35484	34827	35902.5	34633	
UCIAMS 216760	6785.5	6679.5	6794.5	6670	
UCIAMS 216761	13095.5	12998	13099.5	12926	
UCIAMS 216762	47963.5	44763.5	51710	43973.5	
UCIAMS 216763	42095	41300	42385	40815	
UCIAMS 216764	41873	40949	42202	40386.5	
UCIAMS 216765	33246.5	32237	33675	32015	
UCIAMS 216766	17070.5	16975	17304	16860.5	
UCIAMS 216767	17712.5	17388	17797	17358	
UCIAMS 216768	44718	43069	45943	42624	
UCIAMS 216769	46978	44391	49144	43159.5	
UCIAMS 216770	41377	40320	41845	39793	
UCIAMS 216771	35066.5	34471.5	35323.5	34288.5	
UCIAMS 216772	2406	2346.5	2461.5	2344.5	
UCIAMS 216773	36060.5	35413.5	36371.5	34926	
UCIAMS 216779	35775.5	34919	36084	34692.5	
UCIAMS 216780	35567.5	34806	36014	34623.5	
UCIAMS 216781	35685	34885.5	36065	34671.5	
UCIAMS 216782	43024	42175	44086	41920.5	
UCIAMS 216783	46798.5	44206.5	48740.5	43028	
UCIAMS 216784	45276.5	43269	46835.5	42737	
UCIAMS 216785		50879.8		48213.2	
UCIAMS 217076	46978	44391	49144	43159.5	
UCIAMS 217077	41180	40120	41695.5	39627	
UCIAMS 217078	33088	32206.5	33523	31900.5	
UCIAMS 217079	51986.5	46523.5		45905	
UCIAMS 223493	5288	5054	5295	5050	
UCIAMS 223494	2770.5	2745	2844	2736.5	
UCIAMS 223495	42837	42287.5	43777.5	41994	
UCIAMS 223496	44305	43110	44938.5	42700	
UCIAMS 223497	43146.5	42394	44031	42251.5	
UCIAMS 223498	40404	39579	40795.5	39265.5	
UCIAMS 223499	39134	37823.5	39412	37383.5	
UCIAMS 223500	40801	39947.5	41145.5	39585	
UCIAMS 223501	40840	39989	41175	39615	
UCIAMS 223502	47724	45344	49593	44570	
UCIAMS 223503	51035	46830	54967	45970	
UCIAMS 223504	52497.5	48029		47405.8	
UCIAMS 223505	38639	37388	39125.5	37058	
UCIAMS 223506	41729.5	40961.5	42019.5	40563.5	
UCIAMS 223507	35940.5	35352	36225	34950	
UCIAMS 223508	36649.5	36065	36975	35706.5	
UCIAMS 223509	37431.5	36611	38133	36273.5	
UCIAMS 223513	30194.5	29987	30350	29908	
UCIAMS 223515	31335.5	31099.5	31580.5	31064.5	
UCIAMS 223516	31122	30927	31208.5	30744	
UCIAMS 223517	42025	41385	42255	41060.5	
UCIAMS 223518		51234.8		48850.2	
UCIAMS 223519		50999.2		48647.2	
UCIAMS 223520	33651	32865.5	33760	32224.5	
UCIAMS 223521	31343	30818	31640	30406.5	
UCIAMS 223522	42715	42217.5	43096.5	41951	
UCIAMS 223585	42937	42501.5	43392.5	42288	
UCIAMS 223587	31080	30920	31137	30813.5	
UCIAMS 198199	41389	40375.5	41844.5	39845	
UCIAMS 198200	40705	39704.5	41159.5	39309	
UCIAMS 198201	37255.5	36361.5	38183.5	36110	
UCIAMS 198202	41494.5	40494	41927.5	39954.5	
UCIAMS 198203	38790.5	36979.5	39423	36328.5	
UCIAMS 198204	41934	40542.5	42310	39690	
UCIAMS 223524	32740	31722.5	32900	31650	
UCIAMS 223525	36104	35558.5	36291.5	35314.5	
UCIAMS 223526	35185	34673.5	35390	34474.5	
UCIAMS 223527	41357.5	40567	41804	40082.5	
UCIAMS 223528	7156.5	6990	7158.5	6960	
UCIAMS 223529	32886	32135.5	33135.5	31894.5	
