Name,Unmodelled _BP_from,Unmodelled _BP_to,Unmodelled _BP_percent,Unmodelled _BP_mu,Unmodelled _BP_sigma,Unmodelled _BP_median
"R Combine 1 LACMP23-33228 R_Combine(30696,198)",35452,34606,95.449974,35035,226,35036
"R Combine 2 LACMHC-142773 R_Combine(41890,871)",46188,43128,95.449974,44765,772,44735
"R Combine 3 LACMHC-142779 R_Combine(35645,400)",41460,39896,95.449974,40748,386,40773
"R Combine 4 LACMP23-35541 R_Combine(39066,374)",43024,42349,95.449974,42680,180,42667
"R Combine 5 LACMP23-40642 R_Combine(26735,105)",31140,30841,95.449974,30998,82,31008
"UCIAMS 191095 R_Date(35750,610)",41890,39755,95.449974,40823,546,40844
"UCIAMS 191096 R_Date(35440,580)",41612,39487,95.449974,40555,535,40567
"UCIAMS 191097 R_Date(35150,580)",41352,39266,95.449974,40311,547,40310
"UCIAMS 191098 R_Date(36050,630)",42056,39996,95.449974,41079,526,41105
"UCIAMS 191099 R_Date(33830,480)",39941,37276,95.449974,38682,694,38726
"UCIAMS 191100 R_Date(35780,600)",41897,39792,95.449974,40851,537,40872
"UCIAMS 191101 R_Date(46200,2200)",...,45909,95.449974,49757,2473,49500
"UCIAMS 191102 R_Date(35420,580)",41590,39465,95.449974,40538,536,40549
"UCIAMS 198205 R_Date(36580,610)",42244,40636,95.449974,41478,416,41504
"UCIAMS 198206 R_Date(30480,290)",35428,34376,95.449974,34906,279,34895
"UCIAMS 198207 R_Date(31830,340)",36918,35447,95.449974,36183,375,36182
"UCIAMS 198208 R_Date(25620,160)",30176,29322,95.449974,29878,206,29933
"UCIAMS 198294 R_Date(39700,810)",44411,42361,95.449974,43308,573,43214
"UCIAMS 198295 R_Date(33070,350)",39084,36778,95.449974,37808,618,37738
"UCIAMS 198296 R_Date(47400,2000)",...,47197,95.449974,50744,2199,50622
"UCIAMS 198297 R_Date(28600,210)",33619,32062,95.449974,32809,419,32837
"UCIAMS 198298 R_Date(26310,150)",30952,30198,95.449974,30578,198,30580
"UCIAMS 198302 R_Date(30870,270)",35903,34633,95.449974,35226,324,35226
"UCIAMS 216760 R_Date(5925,20)",6795,6670,95.449974,6740,38,6744
"UCIAMS 216761 R_Date(11105,25)",13100,12926,95.449974,13034,48,13043
"UCIAMS 216762 R_Date(43700,1600)",51710,43974,95.449974,47032,1971,46660
"UCIAMS 216763 R_Date(36880,660)",42385,40815,95.449974,41640,404,41667
"UCIAMS 216764 R_Date(36350,620)",42202,40387,95.449974,41318,466,41346
"UCIAMS 216765 R_Date(28600,240)",33675,32015,95.449974,32818,448,32838
"UCIAMS 216766 R_Date(13990,40)",17304,16861,95.449974,17023,72,17023
"UCIAMS 216767 R_Date(14390,40)",17797,17358,95.449974,17555,126,17530
"UCIAMS 216768 R_Date(41000,1100)",45943,42624,95.449974,44165,901,44074
"UCIAMS 216769 R_Date(42900,1400)",49144,43160,95.449974,46056,1554,45791
"UCIAMS 216770 R_Date(35740,570)",41845,39793,95.449974,40818,518,40839
"UCIAMS 216771 R_Date(30320,290)",35324,34289,95.449974,34789,280,34760
"UCIAMS 216772 R_Date(2375,15)",2462,2345,95.449974,2378,31,2362
"UCIAMS 216773 R_Date(31340,330)",36372,34926,95.449974,35721,332,35727
"UCIAMS 216779 R_Date(31000,320)",36084,34693,95.449974,35387,369,35386
"UCIAMS 216780 R_Date(30900,320)",36014,34624,95.449974,35276,365,35269
"UCIAMS 216781 R_Date(30970,320)",36065,34672,95.449974,35353,369,35351
"UCIAMS 216782 R_Date(38750,840)",44086,41921,95.449974,42768,539,42658
"UCIAMS 216783 R_Date(42600,1400)",48741,43028,95.449974,45776,1526,45531
"UCIAMS 216784 R_Date(41500,1200)",46836,42737,95.449974,44609,1098,44489
"UCIAMS 216785 R_Date(50200,3500)",...,48213,95.449974,51867,2021,52105
"UCIAMS 217076 R_Date(42900,1400)",49144,43160,95.449974,46056,1554,45791
"UCIAMS 217077 R_Date(35550,560)",41696,39627,95.449974,40650,518,40668
"UCIAMS 217078 R_Date(28500,240)",33523,31901,95.449974,32684,424,32671
"UCIAMS 217079 R_Date(46200,2400)",...,45905,95.449974,49786,2546,49556
"UCIAMS 223493 R_Date(4505,20)",5295,5050,95.449974,5163,74,5156
"UCIAMS 223494 R_Date(2650,25)",2844,2737,95.449973,2765,23,2759
"UCIAMS 223495 R_Date(38740,640)",43778,41994,95.449974,42645,359,42588
"UCIAMS 223496 R_Date(40640,800)",44939,42700,95.449974,43792,592,43759
"UCIAMS 223497 R_Date(39240,670)",44031,42252,95.449974,42955,469,42842
"UCIAMS 223498 R_Date(34800,390)",40796,39266,95.449974,40008,400,39991
