"Name","Unmodelled (BP)",,,,,,,,,"Modelled (BP)",,,,,,,,,"Indices
Amodel 80.5
Aoverall 80.4",
,"from","to","%","from","to","%","mu","sigma","median","from","to","%","from","to","%","mu","sigma","median","Acomb","A","L","P","C",
"IntCal20 Curve(IntCal20.14c)",,,,,,,"","","",,,,,,,"","","",,,,,,
" Sequence",,,,,,,"","","",,,,,,,"","","",,,,,,
" Boundary",,,,,,,"","","","47110","44700","68.26895","48740","43360","95.449974",46110,1350,45950,,,,,93.8,
"P23-1 all Phase",,,,,,,"","","",,,,,,,"","","",,,,,,
"dups R_Combine(30696,198)","35270","34790","68.268949","35460","34600","95.449974",35040,230,35040,"35370","34900","68.268949","35570","34650","95.449974",35130,230,35150,,95.8,,,99.7,
"UCIAMS 191095 R_Date(35750,610)","41410","40270","68.268949","41890","39750","95.449974",40820,550,40840,"41420","40270","68.268949","41900","39750","95.449974",40820,550,40840,,99.9,,,99.5,
"UCIAMS 191096 R_Date(35440,580)","41100","40000","68.268949","41620","39480","95.449974",40550,540,40570,"41110","40000","68.268949","41620","39490","95.449974",40550,540,40570,,100,,,99.5,
"UCIAMS 191097 R_Date(35150,580)","40870","39750","68.268949","41360","39260","95.449974",40310,550,40310,"40870","39760","68.268949","41360","39250","95.449974",40310,550,40310,,99.9,,,99.5,
"UCIAMS 191098 R_Date(36050,630)","41690","40620","68.268949","42060","39990","95.449974",41080,530,41110,"41700","40620","68.268949","42060","39990","95.449974",41080,530,41100,,100,,,99.6,
"UCIAMS 191099 R_Date(33830,480)","39470","37860","68.268949","39950","37270","95.449974",38680,690,38730,"39470","37790","68.26895000000002","39940","37260","95.449974",38680,690,38730,,100,,,99.4,
"UCIAMS 191100 R_Date(35780,600)","41440","40320","68.268949","41900","39790","95.449974",40850,540,40870,"41440","40320","68.26894899999999","41900","39790","95.449974",40850,540,40870,,100,,,99.5,
"UCIAMS 191101 R_Date(46200,2200)","51880","46660","68.268949","...","45900","95.44997400000001",49760,2470,49500,"46400","44480","68.268949","47630","43140","95.449974",45510,1110,45400,,41.1,,,98.8,
"UCIAMS 191102 R_Date(35420,580)","41090","39980","68.268949","41590","39460","95.449974",40540,540,40550,"41090","39980","68.268949","41600","39460","95.449974",40540,530,40550,,100.1,,,99.5,
"UCIAMS 198205 R_Date(36580,610)","41960","41130","68.268949","42250","40630","95.449974",41480,420,41500,"41960","41130","68.268949","42240","40630","95.449974",41480,420,41500,,100,,,99.6,
"UCIAMS 198207 R_Date(31830,340)","36530","35760","68.268949","36920","35440","95.449974",36180,370,36180,"36540","35770","68.268949","36920","35440","95.449974",36180,370,36180,,100.1,,,99.6,
"UCIAMS 198294 R_Date(39700,810)","43850","42560","68.26894899999999","44420","42360","95.449974",43310,570,43210,"43820","42560","68.268949","44390","42360","95.449974",43290,560,43190,,101,,,99.6,
"UCIAMS 198199 R_Date(35770,550)","41390","40370","68.268949","41850","39840","95.449974",40850,500,40870,"41390","40370","68.268949","41850","39850","95.449974",40850,500,40870,,99.9,,,99.5,
"UCIAMS 198200 R_Date(35050,510)","40710","39700","68.268949","41160","39300","95.449974",40230,490,40220,"40700","39700","68.26894899999999","41170","39300","95.449974",40230,490,40220,,100,,,99.5,
"UCIAMS 198201 R_Date(32500,370)","37260","36360","68.268949","38190","36110","95.449974",36970,520,36890,"37270","36350","68.26894899999999","38200","36110","95.449974",36970,520,36890,,99.9,,,99.5,
"UCIAMS 198202 R_Date(35900,560)","41500","40490","68.268949","41930","39950","95.449974",40960,500,40980,"41510","40500","68.268949","41930","39950","95.449974",40970,500,40990,,100.1,,,99.5,
"UCIAMS 198203 R_Date(33100,620)","38800","36970","68.268949","39430","36320","95.449974",37910,840,37880,"38910","36960","68.26895","39420","36320","95.449974",37910,840,37880,,100,,,99.3,
"UCIAMS 198204 R_Date(36160,910)","41940","40540","68.268949","42310","39690","95.449974",41090,690,41140,"41940","40520","68.26894899999999","42310","39690","95.449974",41090,690,41140,,100,,,99.2,
"Event",,,,,,,"","","","44030","35380","68.26894599999999","46390","34470","95.449974",40320,3450,40260,,,,,99.1,
" Boundary",,,,,,,"","","","35280","34270","68.26894899999999","35550","33020","95.449974",34530,700,34700,,,,,97.9,
