"index","op","name","z","type","value","probability"
3,"Boundary","",,"posterior",-62519.5,0
3,"Boundary","",,"posterior",-62514.5,4.735e-8
3,"Boundary","",,"posterior",-62509.5,0
3,"Boundary","",,"posterior",-62504.5,0
3,"Boundary","",,"posterior",-62499.5,1.4204e-7
3,"Boundary","",,"posterior",-62494.5,0
3,"Boundary","",,"posterior",-62489.5,0
3,"Boundary","",,"posterior",-62484.5,0
3,"Boundary","",,"posterior",-62479.5,0
3,"Boundary","",,"posterior",-62474.5,0
3,"Boundary","",,"posterior",-62469.5,0
3,"Boundary","",,"posterior",-62464.5,0
3,"Boundary","",,"posterior",-62459.5,4.735e-8
3,"Boundary","",,"posterior",-62454.5,0
3,"Boundary","",,"posterior",-62449.5,0
3,"Boundary","",,"posterior",-62444.5,4.735e-8
3,"Boundary","",,"posterior",-62439.5,0
3,"Boundary","",,"posterior",-62434.5,0
3,"Boundary","",,"posterior",-62429.5,4.735e-8
3,"Boundary","",,"posterior",-62424.5,0
3,"Boundary","",,"posterior",-62419.5,9.47e-8
3,"Boundary","",,"posterior",-62414.5,0
3,"Boundary","",,"posterior",-62409.5,0
3,"Boundary","",,"posterior",-62404.5,0
3,"Boundary","",,"posterior",-62399.5,0
3,"Boundary","",,"posterior",-62394.5,0
3,"Boundary","",,"posterior",-62389.5,0
3,"Boundary","",,"posterior",-62384.5,0
3,"Boundary","",,"posterior",-62379.5,0
3,"Boundary","",,"posterior",-62374.5,0
3,"Boundary","",,"posterior",-62369.5,0
3,"Boundary","",,"posterior",-62364.5,0
3,"Boundary","",,"posterior",-62359.5,0
3,"Boundary","",,"posterior",-62354.5,0
3,"Boundary","",,"posterior",-62349.5,0
3,"Boundary","",,"posterior",-62344.5,4.735e-8
3,"Boundary","",,"posterior",-62339.5,4.735e-8
3,"Boundary","",,"posterior",-62334.5,0
3,"Boundary","",,"posterior",-62329.5,0
3,"Boundary","",,"posterior",-62324.5,4.735e-8
3,"Boundary","",,"posterior",-62319.5,0
3,"Boundary","",,"posterior",-62314.5,0
3,"Boundary","",,"posterior",-62309.5,1.4204e-7
3,"Boundary","",,"posterior",-62304.5,0
3,"Boundary","",,"posterior",-62299.5,0
3,"Boundary","",,"posterior",-62294.5,0
3,"Boundary","",,"posterior",-62289.5,0
3,"Boundary","",,"posterior",-62284.5,0
3,"Boundary","",,"posterior",-62279.5,0
3,"Boundary","",,"posterior",-62274.5,0
3,"Boundary","",,"posterior",-62269.5,0
3,"Boundary","",,"posterior",-62264.5,0
3,"Boundary","",,"posterior",-62259.5,0
3,"Boundary","",,"posterior",-62254.5,4.735e-8
3,"Boundary","",,"posterior",-62249.5,0
3,"Boundary","",,"posterior",-62244.5,0
3,"Boundary","",,"posterior",-62239.5,4.735e-8
3,"Boundary","",,"posterior",-62234.5,0
3,"Boundary","",,"posterior",-62229.5,0
3,"Boundary","",,"posterior",-62224.5,0
3,"Boundary","",,"posterior",-62219.5,0
3,"Boundary","",,"posterior",-62214.5,0
3,"Boundary","",,"posterior",-62209.5,4.735e-8
3,"Boundary","",,"posterior",-62204.5,0
3,"Boundary","",,"posterior",-62199.5,4.735e-8
3,"Boundary","",,"posterior",-62194.5,0
3,"Boundary","",,"posterior",-62189.5,0
3,"Boundary","",,"posterior",-62184.5,0
3,"Boundary","",,"posterior",-62179.5,4.735e-8
3,"Boundary","",,"posterior",-62174.5,0
3,"Boundary","",,"posterior",-62169.5,4.735e-8
3,"Boundary","",,"posterior",-62164.5,0
3,"Boundary","",,"posterior",-62159.5,0
3,"Boundary","",,"posterior",-62154.5,0
3,"Boundary","",,"posterior",-62149.5,0
3,"Boundary","",,"posterior",-62144.5,0
3,"Boundary","",,"posterior",-62139.5,4.735e-8
3,"Boundary","",,"posterior",-62134.5,0
3,"Boundary","",,"posterior",-62129.5,0
3,"Boundary","",,"posterior",-62124.5,4.735e-8
3,"Boundary","",,"posterior",-62119.5,0
3,"Boundary","",,"posterior",-62114.5,4.735e-8
3,"Boundary","",,"posterior",-62109.5,0
3,"Boundary","",,"posterior",-62104.5,0
3,"Boundary","",,"posterior",-62099.5,4.735e-8
3,"Boundary","",,"posterior",-62094.5,0
