Name,Unmodelled _BP_from,Unmodelled _BP_to,Unmodelled _BP_percent1,Unmodelled _BP_from,Unmodelled _BP_to,Unmodelled _BP_percent2,Unmodelled _BP_mu,Unmodelled _BP_sigma,Unmodelled _BP_median,Modelled_BP_from,Modelled_BP_to,Modelled_BP_percent1,Modelled_BP_from,Modelled_BP_to,Modelled_BP_percent2,Modelled_BP_mu,Modelled_BP_sigma,Modelled_BP_median
 Boundary,,,,,,,,,,50660,47340,68.268949,52960,46580,95.449974,49480,1710,49230
"dups R_Combine(39066,374)",42830,42490,68.268949,43030,42340,95.449974,42680,180,42670,42820,42480,68.268949,43030,42350,95.449974,42680,180,42670
"UCIAMS 223496 R_Date(40640,800)",44310,43110,68.268949,44940,42700,95.449974,43790,590,43760,44310,43100,68.26895,44940,42690,95.449974,43790,590,43760
"UCIAMS 223497 R_Date(39240,670)",43150,42390,68.268949,44040,42250,95.449974,42960,470,42840,43160,42390,68.268949,44030,42250,95.449974,42960,470,42840
"UCIAMS 223498 R_Date(34800,390)",40410,39570,68.268949,40800,39260,95.449974,40010,400,39990,40410,39580,68.268949,40800,39260,95.449974,40010,400,39990
"UCIAMS 223499 R_Date(33590,340)",39140,37820,68.268949,39420,37380,95.449974,38430,550,38460,39130,37800,68.26895,39420,37380,95.449974,38430,550,38460
"UCIAMS 223500 R_Date(35230,410)",40810,39940,68.268949,41150,39580,95.449974,40370,410,40380,40800,39940,68.268949,41150,39580,95.449974,40370,410,40380
"UCIAMS 223501 R_Date(35270,410)",40840,39980,68.268949,41180,39610,95.449974,40410,410,40420,40840,39980,68.268949,41180,39610,95.449974,40410,410,40420
"UCIAMS 223502 R_Date(44000,1200)",47730,45340,68.268949,49600,44570,95.449974,46830,1360,46640,47490,45330,68.26895,48650,44610,95.449974,46570,1070,46470
"UCIAMS 223503 R_Date(46200,1600)",51040,46830,68.268949,54970,45970,95.449974,49530,2150,49220,48730,46240,68.268949,50450,45480,95.449974,47810,1280,47680
"UCIAMS 223504 R_Date(47400,1800)",52500,48020,68.268949,...,47400,95.449974,50760,2120,50610,49300,46750,68.268949,50980,45870,95.449974,48230,1340,48110
"UCIAMS 223505 R_Date(33260,320)",38640,37380,68.268949,39130,37050,95.449974,38060,570,38040,38650,37380,68.26895,39130,37050,95.449974,38060,570,38040
"UCIAMS 223506 R_Date(36260,470)",41730,40960,68.268949,42020,40560,95.449974,41290,380,41300,41740,40960,68.268949,42030,40560,95.449974,41290,380,41300
"UCIAMS 223507 R_Date(31230,270)",35950,35350,68.268949,36230,34950,95.449974,35640,290,35640,36060,35470,68.268949,36250,35200,95.449974,35730,280,35750
"UCIAMS 223508 R_Date(31980,280)",36650,36060,68.268949,36980,35700,95.449974,36350,310,36340,36650,36070,68.268949,36980,35740,95.449974,36360,300,36340
"UCIAMS 223509 R_Date(32660,300)",37440,36610,68.268949,38140,36270,95.449974,37100,460,37050,37440,36600,68.268949,38150,36270,95.449974,37100,460,37040
Event,,,,,,,,,,47170,35880,68.268948,49880,34720,95.449974,42160,4370,42100
 Boundary,,,,,,,,,,35920,34480,68.268949,36170,32770,95.449973,34840,1030,35110
