"index","op","name","z","type","value","probability"
3,"Boundary","",,"posterior",-74134.5,0
3,"Boundary","",,"posterior",-74129.5,0
3,"Boundary","",,"posterior",-74124.5,0.0000019413
3,"Boundary","",,"posterior",-74119.5,0.000004072
3,"Boundary","",,"posterior",-74114.5,0.000005682
3,"Boundary","",,"posterior",-74109.5,0.000005161
3,"Boundary","",,"posterior",-74104.5,0.000003788
3,"Boundary","",,"posterior",-74099.5,0.000003456
3,"Boundary","",,"posterior",-74094.5,0.000003599
3,"Boundary","",,"posterior",-74089.5,0.000003977
3,"Boundary","",,"posterior",-74084.5,0.000004924
3,"Boundary","",,"posterior",-74079.5,0.000003551
3,"Boundary","",,"posterior",-74074.5,0.0000029355
3,"Boundary","",,"posterior",-74069.5,0.000004025
3,"Boundary","",,"posterior",-74064.5,0.000003172
3,"Boundary","",,"posterior",-74059.5,0.000004451
3,"Boundary","",,"posterior",-74054.5,0.000003551
3,"Boundary","",,"posterior",-74049.5,0.00000393
3,"Boundary","",,"posterior",-74044.5,0.0000030303
3,"Boundary","",,"posterior",-74039.5,0.0000027936
3,"Boundary","",,"posterior",-74034.5,0.000003409
3,"Boundary","",,"posterior",-74029.5,0.000003693
3,"Boundary","",,"posterior",-74024.5,0.0000031249
3,"Boundary","",,"posterior",-74019.5,0.000003409
3,"Boundary","",,"posterior",-74014.5,0.0000028409
3,"Boundary","",,"posterior",-74009.5,0.000003456
3,"Boundary","",,"posterior",-74004.5,0.000003835
3,"Boundary","",,"posterior",-73999.5,0.0000027462
3,"Boundary","",,"posterior",-73994.5,0.000003314
3,"Boundary","",,"posterior",-73989.5,0.000003409
3,"Boundary","",,"posterior",-73984.5,0.000003267
3,"Boundary","",,"posterior",-73979.5,0.0000026988
3,"Boundary","",,"posterior",-73974.5,0.000003362
3,"Boundary","",,"posterior",-73969.5,0.0000029355
3,"Boundary","",,"posterior",-73964.5,0.0000030303
3,"Boundary","",,"posterior",-73959.5,0.000003883
3,"Boundary","",,"posterior",-73954.5,0.000003314
3,"Boundary","",,"posterior",-73949.5,0.000003267
3,"Boundary","",,"posterior",-73944.5,0.0000030303
3,"Boundary","",,"posterior",-73939.5,0.0000023674
3,"Boundary","",,"posterior",-73934.5,0.0000025094
3,"Boundary","",,"posterior",-73929.5,0.0000026515
3,"Boundary","",,"posterior",-73924.5,0.0000030776
3,"Boundary","",,"posterior",-73919.5,0.000003551
3,"Boundary","",,"posterior",-73914.5,0.000003788
3,"Boundary","",,"posterior",-73909.5,0.000003172
3,"Boundary","",,"posterior",-73904.5,0.0000029355
3,"Boundary","",,"posterior",-73899.5,0.0000026988
3,"Boundary","",,"posterior",-73894.5,0.0000030776
3,"Boundary","",,"posterior",-73889.5,0.000003267
3,"Boundary","",,"posterior",-73884.5,0.000003835
3,"Boundary","",,"posterior",-73879.5,0.0000029355
3,"Boundary","",,"posterior",-73874.5,0.000004025
3,"Boundary","",,"posterior",-73869.5,0.000003314
3,"Boundary","",,"posterior",-73864.5,0.0000030303
3,"Boundary","",,"posterior",-73859.5,0.000003314
3,"Boundary","",,"posterior",-73854.5,0.0000027936
3,"Boundary","",,"posterior",-73849.5,0.0000031249
3,"Boundary","",,"posterior",-73844.5,0.0000027462
3,"Boundary","",,"posterior",-73839.5,0.000003551
3,"Boundary","",,"posterior",-73834.5,0.000003788
3,"Boundary","",,"posterior",-73829.5,0.0000029355
3,"Boundary","",,"posterior",-73824.5,0.0000030303
3,"Boundary","",,"posterior",-73819.5,0.000003646
3,"Boundary","",,"posterior",-73814.5,0.000003883
3,"Boundary","",,"posterior",-73809.5,0.0000023201
3,"Boundary","",,"posterior",-73804.5,0.0000030303
3,"Boundary","",,"posterior",-73799.5,0.0000030776
3,"Boundary","",,"posterior",-73794.5,0.000003409
3,"Boundary","",,"posterior",-73789.5,0.0000026042
3,"Boundary","",,"posterior",-73784.5,0.0000024148
3,"Boundary","",,"posterior",-73779.5,0.0000031249
3,"Boundary","",,"posterior",-73774.5,0.000003362
3,"Boundary","",,"posterior",-73769.5,0.0000031249
3,"Boundary","",,"posterior",-73764.5,0.0000025094
3,"Boundary","",,"posterior",-73759.5,0.0000027462
3,"Boundary","",,"posterior",-73754.5,0.000003551
3,"Boundary","",,"posterior",-73749.5,0.0000023201
3,"Boundary","",,"posterior",-73744.5,0.0000027936
3,"Boundary","",,"posterior",-73739.5,0.0000030776
3,"Boundary","",,"posterior",-73734.5,0.0000028882
3,"Boundary","",,"posterior",-73729.5,0.0000026988
3,"Boundary","",,"posterior",-73724.5,0.0000025568
3,"Boundary","",,"posterior",-73719.5,0.000003314
3,"Boundary","",,"posterior",-73714.5,0.000002983
3,"Boundary","",,"posterior",-73709.5,0.0000023201
3,"Boundary","",,"posterior",-73704.5,0.0000026042
3,"Boundary","",,"posterior",-73699.5,0.0000024621
3,"Boundary","",,"posterior",-73694.5,0.0000028882
3,"Boundary","",,"posterior",-73689.5,0.0000027462
3,"Boundary","",,"posterior",-73684.5,0.0000030776
3,"Boundary","",,"posterior",-73679.5,0.0000026988
3,"Boundary","",,"posterior",-73674.5,0.0000028882
3,"Boundary","",,"posterior",-73669.5,0.0000028882
3,"Boundary","",,"posterior",-73664.5,0.0000026988
3,"Boundary","",,"posterior",-73659.5,0.0000028409
3,"Boundary","",,"posterior",-73654.5,0.0000028882
3,"Boundary","",,"posterior",-73649.5,0.0000028409
3,"Boundary","",,"posterior",-73644.5,0.0000026515
3,"Boundary","",,"posterior",-73639.5,0.0000029355
3,"Boundary","",,"posterior",-73634.5,0.0000022727
3,"Boundary","",,"posterior",-73629.5,0.000004025
3,"Boundary","",,"posterior",-73624.5,0.0000024621
3,"Boundary","",,"posterior",-73619.5,0.0000028882
3,"Boundary","",,"posterior",-73614.5,0.0000030776
3,"Boundary","",,"posterior",-73609.5,0.0000024148
3,"Boundary","",,"posterior",-73604.5,0.0000030776
3,"Boundary","",,"posterior",-73599.5,0.000002983
3,"Boundary","",,"posterior",-73594.5,0.000003646
3,"Boundary","",,"posterior",-73589.5,0.000003362
3,"Boundary","",,"posterior",-73584.5,0.0000025094
3,"Boundary","",,"posterior",-73579.5,0.0000025094
3,"Boundary","",,"posterior",-73574.5,0.000003172
3,"Boundary","",,"posterior",-73569.5,0.000003362
3,"Boundary","",,"posterior",-73564.5,0.0000026988
3,"Boundary","",,"posterior",-73559.5,0.000002983
3,"Boundary","",,"posterior",-73554.5,0.0000028409
3,"Boundary","",,"posterior",-73549.5,0.0000030776
3,"Boundary","",,"posterior",-73544.5,0.0000023674
3,"Boundary","",,"posterior",-73539.5,0.0000024148
3,"Boundary","",,"posterior",-73534.5,0.0000025094
3,"Boundary","",,"posterior",-73529.5,0.000003172
3,"Boundary","",,"posterior",-73524.5,0.000002983
3,"Boundary","",,"posterior",-73519.5,0.0000026988
3,"Boundary","",,"posterior",-73514.5,0.00000322
3,"Boundary","",,"posterior",-73509.5,0.0000027462
3,"Boundary","",,"posterior",-73504.5,0.0000025568
3,"Boundary","",,"posterior",-73499.5,0.0000029355
3,"Boundary","",,"posterior",-73494.5,0.0000023201
3,"Boundary","",,"posterior",-73489.5,0.0000023201
3,"Boundary","",,"posterior",-73484.5,0.0000027936
3,"Boundary","",,"posterior",-73479.5,0.0000029355
3,"Boundary","",,"posterior",-73474.5,0.0000025094
3,"Boundary","",,"posterior",-73469.5,0.0000026042
3,"Boundary","",,"posterior",-73464.5,0.0000028882
3,"Boundary","",,"posterior",-73459.5,0.000003409
3,"Boundary","",,"posterior",-73454.5,0.0000022727
3,"Boundary","",,"posterior",-73449.5,0.0000028409
3,"Boundary","",,"posterior",-73444.5,0.0000028409
3,"Boundary","",,"posterior",-73439.5,0.0000025568
3,"Boundary","",,"posterior",-73434.5,0.0000025094
3,"Boundary","",,"posterior",-73429.5,0.0000031249
3,"Boundary","",,"posterior",-73424.5,0.0000031249
3,"Boundary","",,"posterior",-73419.5,0.0000027462
3,"Boundary","",,"posterior",-73414.5,0.0000030303
3,"Boundary","",,"posterior",-73409.5,0.0000022727
3,"Boundary","",,"posterior",-73404.5,0.0000028409
3,"Boundary","",,"posterior",-73399.5,0.0000025094
3,"Boundary","",,"posterior",-73394.5,0.0000027936
3,"Boundary","",,"posterior",-73389.5,0.0000022254
3,"Boundary","",,"posterior",-73384.5,0.0000025094
3,"Boundary","",,"posterior",-73379.5,0.0000026988
3,"Boundary","",,"posterior",-73374.5,0.0000028409
3,"Boundary","",,"posterior",-73369.5,0.0000022727
3,"Boundary","",,"posterior",-73364.5,0.0000026988
3,"Boundary","",,"posterior",-73359.5,0.0000026042
3,"Boundary","",,"posterior",-73354.5,0.000002983
3,"Boundary","",,"posterior",-73349.5,0.000003172
3,"Boundary","",,"posterior",-73344.5,0.0000031249
3,"Boundary","",,"posterior",-73339.5,0.0000029355
3,"Boundary","",,"posterior",-73334.5,0.0000027936
3,"Boundary","",,"posterior",-73329.5,0.0000031249
3,"Boundary","",,"posterior",-73324.5,0.000003172
3,"Boundary","",,"posterior",-73319.5,0.0000025094
3,"Boundary","",,"posterior",-73314.5,0.0000027462
3,"Boundary","",,"posterior",-73309.5,0.0000027462
3,"Boundary","",,"posterior",-73304.5,0.0000030776
3,"Boundary","",,"posterior",-73299.5,0.0000029355
3,"Boundary","",,"posterior",-73294.5,0.0000028409
3,"Boundary","",,"posterior",-73289.5,0.0000025568
3,"Boundary","",,"posterior",-73284.5,0.0000028409
3,"Boundary","",,"posterior",-73279.5,0.0000028409
3,"Boundary","",,"posterior",-73274.5,0.0000025094
3,"Boundary","",,"posterior",-73269.5,0.000003314
3,"Boundary","",,"posterior",-73264.5,0.0000031249
3,"Boundary","",,"posterior",-73259.5,0.000003504
3,"Boundary","",,"posterior",-73254.5,0.0000023674
3,"Boundary","",,"posterior",-73249.5,0.0000031249
3,"Boundary","",,"posterior",-73244.5,0.0000024148
3,"Boundary","",,"posterior",-73239.5,0.0000028409
3,"Boundary","",,"posterior",-73234.5,0.000003267
3,"Boundary","",,"posterior",-73229.5,0.000003172
3,"Boundary","",,"posterior",-73224.5,0.0000026515
3,"Boundary","",,"posterior",-73219.5,0.0000026988
3,"Boundary","",,"posterior",-73214.5,0.000003504
3,"Boundary","",,"posterior",-73209.5,0.0000018466
3,"Boundary","",,"posterior",-73204.5,0.0000026042
3,"Boundary","",,"posterior",-73199.5,0.0000026988
3,"Boundary","",,"posterior",-73194.5,0.0000026042
3,"Boundary","",,"posterior",-73189.5,0.0000031249
