"Name"	"from"	"to"	"%"	"mu"	"sigma"	"median"	"box"
"dups R_Combine(30696,198)"	35570	34650	95.449974	35130	230	35150	"1"
"UCIAMS 191095 R_Date(35750,610)"	41900	39750	95.449974	40820	550	40840	"1"
"UCIAMS 191096 R_Date(35440,580)"	41620	39490	95.449974	40550	540	40570	"1"
"UCIAMS 191097 R_Date(35150,580)"	41360	39250	95.449974	40310	550	40310	"1"
"UCIAMS 191098 R_Date(36050,630)"	42060	39990	95.449974	41080	530	41100	"1"
"UCIAMS 191099 R_Date(33830,480)"	39940	37260	95.449974	38680	690	38730	"1"
"UCIAMS 191100 R_Date(35780,600)"	41900	39790	95.449974	40850	540	40870	"1"
"UCIAMS 191101 R_Date(46200,2200)"	47630	43140	95.449974	45510	1110	45400	"1"
"UCIAMS 191102 R_Date(35420,580)"	41600	39460	95.449974	40540	530	40550	"1"
"UCIAMS 198205 R_Date(36580,610)"	42240	40630	95.449974	41480	420	41500	"1"
"UCIAMS 198207 R_Date(31830,340)"	36920	35440	95.449974	36180	370	36180	"1"
"UCIAMS 198294 R_Date(39700,810)"	44390	42360	95.449974	43290	560	43190	"1"
"UCIAMS 198199 R_Date(35770,550)"	41850	39850	95.449974	40850	500	40870	"1"
"UCIAMS 198200 R_Date(35050,510)"	41170	39300	95.449974	40230	490	40220	"1"
"UCIAMS 198201 R_Date(32500,370)"	38200	36110	95.449974	36970	520	36890	"1"
"UCIAMS 198202 R_Date(35900,560)"	41930	39950	95.449974	40970	500	40990	"1"
"UCIAMS 198203 R_Date(33100,620)"	39420	36320	95.449974	37910	840	37880	"1"
"UCIAMS 198204 R_Date(36160,910)"	42310	39690	95.449974	41090	690	41140	"1"
"UCIAMS 216781 R_Date(30970,320)"	36100	34700	95.449974	35410	370	35400	"7b"
"UCIAMS 216782 R_Date(38750,840)"	44090	41910	95.449974	42770	540	42660	"7b"
"UCIAMS 216783 R_Date(42600,1400)"	48590	43060	95.449974	45730	1450	45510	"7b"
"UCIAMS 216784 R_Date(41500,1200)"	46810	42730	95.449974	44600	1090	44490	"7b"
"UCIAMS 216785 R_Date(50200,3500)"	54980	47120	95.449974	50640	2110	50520	"7b"
"UCIAMS 217079 R_Date(46200,2400)"	53960	45070	95.449974	49020	2270	48740	"7b"
""	NA	NA	NA	NA	NA	NA	"7b"
""	NA	NA	NA	NA	NA	NA	"7b"
""	64420	23320	NA	NA	NA	NA	"7b"
""	57520	29830	NA	NA	NA	NA	"7b"
""	53530	33390	NA	NA	NA	NA	"7b"
"dups R_Combine(39066,374)"	43030	42350	95.449974	42680	180	42670	"13"
"UCIAMS 223496 R_Date(40640,800)"	44940	42690	95.449974	43790	590	43760	"13"
"UCIAMS 223497 R_Date(39240,670)"	44030	42250	95.449974	42960	470	42840	"13"
"UCIAMS 223498 R_Date(34800,390)"	40800	39260	95.449974	40010	400	39990	"13"
"UCIAMS 223499 R_Date(33590,340)"	39420	37380	95.449974	38430	550	38460	"13"
"UCIAMS 223500 R_Date(35230,410)"	41150	39580	95.449974	40370	410	40380	"13"
"UCIAMS 223501 R_Date(35270,410)"	41180	39610	95.449974	40410	410	40420	"13"
"UCIAMS 223502 R_Date(44000,1200)"	48650	44610	95.449974	46570	1070	46470	"13"
"UCIAMS 223503 R_Date(46200,1600)"	50450	45480	95.449974	47810	1280	47680	"13"
"UCIAMS 223504 R_Date(47400,1800)"	50980	45870	95.449974	48230	1340	48110	"13"
"UCIAMS 223505 R_Date(33260,320)"	39130	37050	95.449974	38060	570	38040	"13"
"UCIAMS 223506 R_Date(36260,470)"	42030	40560	95.449974	41290	380	41300	"13"
"UCIAMS 223507 R_Date(31230,270)"	36250	35200	95.449974	35730	280	35750	"13"
"UCIAMS 223508 R_Date(31980,280)"	36980	35740	95.449974	36360	300	36340	"13"
"UCIAMS 223509 R_Date(32660,300)"	38150	36270	95.449974	37100	460	37040	"13"
"dups R_Combine(26735,105)"	31140	30840	95.449974	31000	80	31010	"14"
"UCIAMS 198208 R_Date(25620,160)"	30220	29340	95.449974	29910	190	29950	"14"
"UCIAMS 198295 R_Date(33070,350)"	39090	36770	95.449974	37810	620	37740	"14"
"UCIAMS 198296 R_Date(47400,2000)"	54000	46380	95.449974	49950	1900	49800	"14"
"UCIAMS 198297 R_Date(28600,210)"	33620	32060	95.449974	32810	420	32840	"14"
"UCIAMS 198298 R_Date(26310,150)"	30960	30190	95.449974	30580	200	30580	"14"
"UCIAMS 223513 R_Date(25830,140)"	30350	29910	95.449974	30120	120	30100	"14"
"UCIAMS 223515 R_Date(27200,160)"	31590	31060	95.449974	31270	140	31230	"14"
"UCIAMS 223516 R_Date(26780,160)"	31210	30740	95.449974	30990	130	31010	"14"
"UCIAMS 223517 R_Date(36870,500)"	42260	41060	95.449974	41670	310	41690	"14"
"UCIAMS 223518 R_Date(49800,2500)"	54670	48010	95.449974	51000	1750	50880	"14"
"UCIAMS 223519 R_Date(49400,2400)"	54680	47900	95.449974	50880	1770	50750	"14"
"UCIAMS 223520 R_Date(28750,190)"	33770	32220	95.449974	33090	410	33150	"14"
"UCIAMS 223522 R_Date(38490,610)"	43100	41940	95.449974	42510	300	42480	"14"
