type,code
R_combine_1,"R_Date('UCIAMS 198206',30480,290)"
R_combine_1,"R_Date('UCIAMS 198302',30870,270)"
R_date,"R_Date('UCIAMS 191095',35750,610)"
R_date,"R_Date('UCIAMS 191096',35440,580)"
R_date,"R_Date('UCIAMS 191097',35150,580)"
R_date,"R_Date('UCIAMS 191098',36050,630)"
R_date,"R_Date('UCIAMS 191099',33830,480)"
R_date,"R_Date('UCIAMS 191100',35780,600)"
R_date,"R_Date('UCIAMS 191101',46200,2200)"
R_date,"R_Date('UCIAMS 191102',35420,580)"
R_date,"R_Date('UCIAMS 198205',36580,610)"
R_date,"R_Date('UCIAMS 198207',31830,340)"
R_date,"R_Date('UCIAMS 198294',39700,810)"
R_date,"R_Date('UCIAMS 198199',35770,550)"
R_date,"R_Date('UCIAMS 198200',35050,510)"
R_date,"R_Date('UCIAMS 198201',32500,370)"
R_date,"R_Date('UCIAMS 198202',35900,560)"
R_date,"R_Date('UCIAMS 198203',33100,620)"
R_date,"R_Date('UCIAMS 198204',36160,910)"
