"type","code"
"R_combine_1","R_Date('UCIAMS 223495',38740,640)"
"R_date","R_Date('UCIAMS 223496',40640,800)"
"R_date","R_Date('UCIAMS 223497',39240,670)"
"R_date","R_Date('UCIAMS 223498',34800,390)"
"R_date","R_Date('UCIAMS 223499',33590,340)"
"R_date","R_Date('UCIAMS 223500',35230,410)"
"R_date","R_Date('UCIAMS 223501',35270,410)"
"R_date","R_Date('UCIAMS 223502',44000,1200)"
"R_date","R_Date('UCIAMS 223503',46200,1600)"
"R_date","R_Date('UCIAMS 223504',47400,1800)"
"R_date","R_Date('UCIAMS 223505',33260,320)"
"R_date","R_Date('UCIAMS 223506',36260,470)"
"R_date","R_Date('UCIAMS 223507',31230,270)"
"R_date","R_Date('UCIAMS 223508',31980,280)"
"R_date","R_Date('UCIAMS 223509',32660,300)"
"R_combine_1","R_Date('UCIAMS 223585',39220,460)"
