UCIAMS_Number	Original_sample_name	Museum_Number	SampleType	3-30kDa_collagen_yield_percent	del15N_permil	del13C_permil	percent_N	percent_C	C_to_N_wt_percent_to_wt_percent	C_to_N_atomic	Original_data_sheet	Sample_Notes	UseSample	Other_Notes
191095	P23-5233 Dep1 B-2 L2 sylvilagus	LACMP23-5233	mammal	2.7	8.4	-21.3	14.2	40.5	2.85	3.33	FoxBloisJul16_17.xls		Y	
191096	P23-18270 Dep1 A-2 L5 sylvilagus	LACMP23-18270	mammal	1.7	4.5	-22.5	14	41.7	2.98	3.48	FoxBloisJul16_17.xls		Y	
191097	P23-22009 Dep1 A-2 L4 sylvilagus	LACMP23-22009	mammal	1.1	6.7	-22.4	13.2	40.6	3.08	3.6	FoxBloisJul16_17.xls		Y	Specimen is not listed in the master mammal spreadsheet!
191098	P23-25476 Dep1 A-2 L4 sylvilagus	LACMP23-25476	mammal	1.4	7.4	-21.4	14.1	41	2.9	3.38	FoxBloisJul16_17.xls		Y	
191099	P23-28903 Dep1 A-1 L7 sylvilagus	LACMP23-28903	mammal	1.2	9.1	-21.1	14.3	40.9	2.86	3.34	FoxBloisJul16_17.xls		Y	
191100	P23-30238 Dep1 B-1 L2 sylvilagus	LACMP23-30238	mammal	1.2	7.3	-21.5	12.9	39.8	3.08	3.59	FoxBloisJul16_17.xls		Y	Specimen is not listed in the master mammal spreadsheet!
191101	P23-31269 Dep1 B-4 L3 sylvilagus	LACMP23-31269	mammal	2	8.1	-20.5	14.9	41.7	2.79	3.26	FoxBloisJul16_17.xls		Y	
191102	P23-31423 Dep1 B-2 L2 sylvilagus	LACMP23-31423	mammal	1.5	7.3	-21.3	14.2	42.2	2.97	3.46	FoxBloisJul16_17.xls		Y	
191103	P23-31033 Dep14 D-2 L4 sylvilagus .32mgC	LACMP23-31033	mammal	0.8	8.5	-21.7	13	38.5	2.97	3.47	FoxBloisJul16_17.xls		Y	
191104	P23-31036 Dep14 C-2 L7 sylvilagus	LACMP23-31036	mammal	1.8	7.3	-22.3	10	47.6	4.77	5.56	FoxBloisJul16_17.xls	"Two of these samples (P23-31036 and -31056) had low yields and gave highly elevated C:N ratios indicating that residual hydrocarbons were probably present. This would bias the dates old, but even for the most contaminated sample (P23-31036) a back-calculation of the age of the collagen component yields a non-finite 14C age. The d15N value would not be affected by the presence of tar but if 40% of the carbon in this sample was from ashphalt (d13C = -23ä, unpublished data), the d13C would have been shifted negative by about 0.8ä."	MAYBE	
191105	P23-31056 Dep14 D-3 L6 sylvilagus	LACMP23-31056	mammal	1.1	7.3	-21.7	12.3	42.6	3.46	4.04	FoxBloisJul16_17.xls	"Two of these samples (P23-31036 and -31056) had low yields and gave highly elevated C:N ratios indicating that residual hydrocarbons were probably present. This would bias the dates old, but even for the most contaminated sample (P23-31036) a back-calculation of the age of the collagen component yields a non-finite 14C age. The d15N value would not be affected by the presence of tar but if 40% of the carbon in this sample was from ashphalt (d13C = -23ä, unpublished data), the d13C would have been shifted negative by about 0.8ä."	MAYBE	
191244	P23-31031 Dep14 C-3 L7 sylvilagus	LACMP23-31031	mammal	1.1	4.3	-21.1	13.5	40.8	3.01	3.51	FoxBloisJul19_17.xls		Y	UCIAMS Number correct?  The associated date appears to be for UCIAMS number 191242
198199	P23 2046 C. latrans Dep 1 B-1 L3	LACMP23-2046	mammal	2.6	12.3	-17	15.3	42.8	2.79	3.25	Blois_FoxJan03_18.xls		Y	Specimen is not listed in the master mammal spreadsheet!
198200	P23 11485 C. latrans Dep 1 B-1 L7	LACMP23-11485	mammal	2	11.1	-19.9	14.4	43.1	3	3.5	Blois_FoxJan03_18.xls		Y	Specimen is not listed in the master mammal spreadsheet!
198201	P23 17139 S. beecheyi Dep. 1 B-2 L8	LACMP23-17139	mammal	1.3	7.6	-20.4	14.7	42	2.86	3.33	Blois_FoxJan03_18.xls		Y	Specimen is not listed in the master mammal spreadsheet!
198202	P23 20172 S. beecheyi Dep. 1 B-1 L8	LACMP23-20172	mammal	1.5	4.4	-21.4	14.3	41.3	2.88	3.36	Blois_FoxJan03_18.xls		Y	Specimen is not listed in the master mammal spreadsheet!
198203	P23 26592 S. beecheyi Dep. 1 B-1 L4	LACMP23-26592	mammal	1.1	4	-21	14.7	42.6	2.89	3.37	Blois_FoxJan03_18.xls		Y	Specimen is not listed in the master mammal spreadsheet!
198204	P23 30796 S. beecheyi Dep. 1 B-2 L4	LACMP23-30796	mammal	1.2	3.8	-21.1	15	42.6	2.84	3.31	Blois_FoxJan03_18.xls		Y	Specimen is not listed in the master mammal spreadsheet!
198205	P23 33227 S. beecheyi Dep. 1 B-2 L3	LACMP23-33227	mammal	3.2	7	-20.7	14	44.9	3.2	3.74	Blois_FoxJan03_18.xls	"Three of these samples (P23-33227, -33228 and -33233) gave elevated C:N ratios which may indicate that residual hydrocarbons were present. This would bias the dates old, and for the most contaminated sample (P23-33228) this shift could amount to as much as 1000-1200 years. The d15N values would not be affected by the presence of tar but if 15% of the carbon in this sample was from asphalt (d13C = -23ä, unpublished data), the d13C would have been shifted negative by about 0.4ä."	MAYBE	
