Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats	Old IDs	order	genus	species	element
LACMP23-25722	NSF-15-01	B2/L2	Mammalia	Carnivora	Canidae		Canis	latrans	lt /i1			n			Canis	cf dirus	Lower lt i1
LACMP23-25729	NSF-15-03	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lt maxilla			n			cf Sylvilagus		lt maxilla and zygoma; P3-M2
LACMP23-25728	NSF-15-04	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lt maxilla			n			cf Sylvilagus		lt maxilla and zygoma; P3-M1
LACMP23-25722	NSF-15-05	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	upper cheek tooth			n					Upper cheek-tooth
LACMP23-25720	NSF-15-06	B2/L2	Mammalia	Rodentia	Sciuridae		Spermophilus	sp.	lt /m			n			cf Spermophilus	lateralis?	Lower lt molar
LACMP23-25721	NSF-15-07	B2/L2	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp.	/p4?			n			cf Dipodomys		Lower p4?
LACMP23-25724	NSF-15-08	B2/L2	Mammalia	Rodentia	Cricetidae		Peromyscus	sp.	lt M1/			n			Peromyscus 		Upper lt M1
LACMP23-25725	NSF-15-09	B2/L2	Mammalia	Rodentia	Cricetidae		Peromyscus	sp.	lt /m1			n			Peromyscus 		Lower lt m1
	NSF-15-27	B2/L2  	Vertebrata cf Mammalia									n					Claw
LACMP23-25723	NSF-15-37	B2/L2  	Mammalia	Rodentia	Geomyidae		Thomomys	sp.	/m1			n			Thomomys 		m1/m2 (upper or lower)
LACMP23-25726	NSF-15-38	B2/L2  	Mammalia	Rodentia 					rt I1/			n		Rodentia			Incisor
	NSF-15-42	B2/L2  	Vertebrata									n					Assorted claws
	NSF-15-54	B2/L2	Vertebrata 									n					Assorted claws
LACMP23-31501	NSF-17-01	C3/L5	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper rt M3			y					
LACMP23-31502	NSF-17-02	C3/L5	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower lt m3			y					
LACMP23-31503	NSF-17-03	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower p4?			y					
LACMP23-31504	NSF-17-04	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	molar	juv		y					
LACMP23-31505	NSF-17-05	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	molar	occlusal surface obstructed by adhesive		y					
LACMP23-31506	NSF-17-06	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	P4/p4?	occlusal surface broken		y					
LACMP23-31507	NSF-17-07	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	molar		3/4/2020	y					
LACMP23-31508	NSF-17-08	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	molar	occlusal surface broken		y					
LACMP23-31509	NSF-17-09	C3/L5	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	lower rt m3?			y					
LACMP23-31510	NSF-17-10	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper rt M1	occlusal surface partially broken		y					
