Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats
LACMP23-35552	NSF-18-01	B1/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y
LACMP23-35553	NSF-18-02	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper rt M1			y
LACMP23-35554	NSF-18-03	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper rt M2			y
LACMP23-35555	NSF-18-04	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper lt M1 frag			y
LACMP23-35556	NSF-18-05	B1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	upper rt tooth			y
LACMP23-35557	NSF-18-06	B1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	upper lt P2			y
LACMP23-35558	NSF-18-07	B1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	upper lt tooth			y
LACMP23-35559	NSF-18-08	B1/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus 	sp	lt anterior dentary frag			y
LACMP23-35560	NSF-18-09	B1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	tooth frag			y
LACMP23-35561	NSF-18-10	B1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	tooth frag			y
LACMP23-35562	NSF-18-11	B1/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				partial tooth	juv		y
LACMP23-37335	NSF-18-12	B1/L1	Mammalia	Carnivora					upper lt M1 frag	2 associated frags, Bassariscus??	9/27/2018	n
LACMP23-35563	NSF-18-14	B1/L1	Mammalia	Carnivora	Mephitidae		?Mephitis	mephitis	upper lt P3 frag		9/27/2018	y
LACMP23-35564	NSF-18-15	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. californicus	lower lt m1	Grade 1, ~Pcal sized	2/20/2020	y
LACMP23-35565	NSF-18-16	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		2/2/2019	y
LACMP23-35566	NSF-18-17	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		8/3/2019	y
LACMP23-35567	NSF-18-18	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M2		8/3/2019	y
LACMP23-35568	NSF-18-19	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. californicus	lower lt m1	Grade 2, ~Pcal sized	2/20/2020	y
LACMP23-35569	NSF-18-20	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower rt m2		8/3/2019	y
LACMP23-35570	NSF-18-21	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lt M1 frag	Size >> Pman, small accessory loph	8/3/2019	y
LACMP23-35571	NSF-18-22	B1/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lt anterior dentary frag			y
LACMP23-35572	NSF-18-23	B1/L1	Mammalia	Rodentia	Cricetidae	?Neotominae			rt anterior dentary frag			y
LACMP23-35573	NSF-18-24	B1/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	rt anterior dentary frag			y
LACMP23-35574	NSF-18-25	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		8/3/2019	y
LACMP23-35575	NSF-18-26	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		8/3/2019	y
LACMP23-35576	NSF-18-27	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma 	sp	upper rt M2			y
LACMP23-35577	NSF-18-28	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M1			y
LACMP23-35578	NSF-18-29	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	tooth frag			y
LACMP23-35579	NSF-18-30	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y
LACMP23-35580	NSF-18-31	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	tooth frag			y
LACMP23-35581	NSF-18-32	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1 frag			y
LACMP23-35582	NSF-18-33	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m3			y
LACMP23-35583	NSF-18-34	A2/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y
LACMP23-35584	NSF-18-35	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
