Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision
LACMP23-28883	RLB-16-01	A2/L3	Mammalia	Carnivora	Canidae		Canis	latrans	partial juv. lower rt m1		
LACMP23-28884	RLB-16-02	A2/L3	Mammalia	Carnivora	Mephitidae		cf. Spilogale	gracilis	partial lower lt canine		
LACMP23-28885	RLB-16-03	A2/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf. Microtus		lt anterior dentary frag		
LACMP23-28886	RLB-16-04	A2/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp.	lower rt m3		
LACMP23-28887	RLB-16-05	A2/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf. Microtus		molar frag		
LACMP23-28888	RLB-16-06	A2/L3	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	lower rt m1	grade 0, small anteroloph	2/27/2019
LACMP23-28889	RLB-16-07	A2/L3	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp.	molar		2/27/2019
LACMP23-28890	RLB-16-08	A2/L3	Mammalia	Rodentia	Heteromyidae/Geomyidae				small, circular, tooth		
LACMP23-28891	RLB-16-09	A2/L3	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	upper lt dP4		2/27/2019
LACMP23-28892	RLB-16-10	A2/L3	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	upper lt P4		
LACMP23-28893	RLB-16-11	A2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	bachmani	lower rt p3		
LACMP23-28894	RLB-16-12	A2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lower rt tooth		
LACMP23-28895	RLB-16-13	A2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	tooth frag		
LACMP23-28896	RLB-16-14	A2/L3	Mammalia	Rodentia					incisor		
LACMP23-28897	RLB-16-15	A1/L7	Mammalia	Carnivora	Mephitidae		Spilogale	gracilis	posterior rt dentary frag	w/ lower m1	
