Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats
LACMP23-36693	NA		Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt dentary frag w/ p4-m2			
LACMP23-36896	NA		Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt dentary frag w/ m1-m2			
LACMP23-36893	NA		Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt dentary frag w/ p4-m2			
LACMP23-35541	NA		Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt posterior dentary w/ p4-m2			
LACMP23-35543	NA		Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt dentary frag w/ p4-m2			
LACMP23-37699	NA		Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt dentary frag w/ p4-m1			
LACMP23-37612	NA		Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt dentary w/ p4-m2	juv?		
LACMP23-36989	NA		Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt anterior dentary w/p4			
LACMP23-37097	NA		Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	proximal lt femur			
LACMP23-36910	NA		Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	rt dentary	juv?		
LACMP23-37651	NA		Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	rt posterior dentary			
LACMP23-36859	NA		Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	lt dentary	juv?		
LACMP23-36907	NA		Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	lt dentary	juv?		
LACMP23-36572	NA		Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	lt femur			
LACMP23-40397	NSF-19-749	B3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt dentary w/ m1-m2			
LACMP23-40398	NSF-19-750	B2/L4	Mammalia	Carnivora					tooth			
LACMP23-40399	NSF-19-751	B2/L4	Mammalia	Eulipotyphla	Soricidae	Soricinae			lt I1			
LACMP23-40400	NSF-19-752	B3/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lt dentary			
LACMP23-40401	NSF-19-753	B3/L4	Mammalia	Eulipotyphla	Soricidae	Soricinae	Sorex	sp	rt M1/M2			
LACMP23-40402	NSF-19-754	B3/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	macrotis	lt m1			
	NSF-19-755	B3/L4	Mammalia	Eulipotyphla	Soricidae	Soricinae	Sorex	sp	lt M1/M2			
