UCIAMS_Number	Original_sample_name	Taxon	del15N_permil	del13C_permil	Calibrated_mean_age	Sigma	Cal_median_age	14C_age_BP	14C_age_error
216772	V 4516 Spermophilus   	O. beecheyi	3.8	-20.7	2377	30	2362	2375	15
223494	HC 143517 Sylvilagus 	Sylvilagus sp	6.2	-18.8	2765	17	2762	2650	25
223493	HC 11584 Spermophilus  Pit 10  E8 9-13.5'	O. beecheyi	9.9	-18.5	5166	73	5161	4505	20
216760	HC 11534 Sylvilagus Pit 10 E-8 9ft	S. audubonii	3.6	-20.8	6743	32	6745	5925	20
223528	V 4509 Spermophilus  Pit 10 	O. beecheyi	4.4	-18.6	7069	56	7070	6155	25
216761	HC 11587 Spermophilus Pit 10 E-8 9ft	O. beecheyi	5.9	-21.1	12990	55	13003	11105	25
216766	HC 142767 Sylvilagus   	S. audubonii	7.6	-22	16980	107	16990	13990	40
216767	HC 142772 Sylvilagus (juv)   	S. audubonii	4.9	-21.9	17538	85	17539	14390	40
223513	P23-40634 Sylvilagus Box 14 	Sylvilagus sp	7.2	-21.3	30054	249	30053	25830	140
198298	P23 33235 S. beecheyi Dep. 14	O. beecheyi	7	-20.9	30615	179	30633	26310	150
223516	P23-40637 Sylvilagus Box 14 B-3 L3	Sylvilagus sp	7.9	-20.9	30940	115	30945	26780	160
223587	P23-40642 Spermophilus Box 14  .10mgC	O. beecheyi	6.4	-20.3	30908	99	30911	26710	110
223524	V 2641 Sylvilagus  Pit 4  F-4 9-10'	Sylvilagus sp	7.2	-20.9	31927	310	31883	28090	180
223529	V 4519 Spermophilus 	O. beecheyi	9.4	-19.3	32275	333	32274	28370	180
217078	V 2174 Sylvilagus Pit 16	S. bachmani	8.2	-22.3	32461	408	32472	28500	240
216765	HC 142766 Sylvilagus Pit 16  	S. audubonii	8.4	-21.3	32609	413	32635	28600	240
216771	V 2173 Sylvilagus Pit 16  	S. audubonii	6.9	-22.5	34341	251	34335	30320	290
198206	P23 33228 S. beecheyi Dep. 1 B-1 L3	O. beecheyi	6.4	-20.7	34458	260	34454	30480	290
223526	V 2737 Sylvilagus 	Sylvilagus sp	8.1	-21.2	34497	226	34498	30540	240
198302	P23 33228 S. beecheyi Dep. 1 B-1 L3 test	O. beecheyi	6.7	-20.2	34806	274	34795	30870	270
216780	V 4531 Spermophilus Pit 16	O. beecheyi	4.5	-21.4	34849	323	34833	30900	320
216781	P23 35670 Spermophilus Dep. 7B B-2 L2	O. beecheyi	6.6	-21.5	34919	326	34900	30970	320
216779	V 4524 Spermophilus   	O. beecheyi	5.3	-20.7	34949	326	34929	31000	320
223507	P23-39818 Sylvilagus Box 13 B-3 L2	Sylvilagus sp	6.4	-22.2	35151	286	35132	31230	270
216773	V 4520 Spermophilus   	O. beecheyi	6.3	-20.4	35269	343	35250	31340	330
223525	V 2644 Sylvilagus  Pit 4  F-4 10-11'	Sylvilagus sp	8.6	-21.1	35358	292	35347	31460	260
198207	P23 33229 S. beecheyi Dep. 1 B-2 L2	O. beecheyi	8.5	-20.9	35726	369	35729	31830	340
223508	P23-39822 Sylvilagus aud. Box 13 B-2 L2	S. audubonii	9.4	-21.1	35872	307	35879	31980	280
198201	P23 17139 S. beecheyi Dep. 1 B-2 L8	O. beecheyi	7.6	-20.4	36571	532	36492	32500	370
223509	P23-39825 Spermophilus (juv) Box 13 B-3 L2	O. beecheyi	6.2	-21.2	36737	460	36660	32660	300
198295	P23 31113 Sciuridae Dep. 14 D-3 L5	O. beecheyi	8.8	-20.8	37286	535	37260	33070	350
198203	P23 26592 S. beecheyi Dep. 1 B-1 L4	O. beecheyi	4	-21	37367	620	37345	33100	620
223505	P23-39811 Sylvilagus aud. Box 13 B-2 L3	S. audubonii	7.3	-21.9	37498	506	37505	33260	320
223499	P23-36896 Sylvilagus Box 13 A-3 L3	Sylvilagus sp	4.2	-21.5	37878	502	37934	33590	340
191099	P23-28903 Dep1 A-1 L7 sylvilagus	S. audubonii	9.1	-21.1	38163	660	38214	33830	480
223498	P23-36859 Spermophilus Box 13 B-3 L4	O. beecheyi	8.7	-21.2	39360	437	39338	34800	390
191097	P23-22009 Dep1 A-2 L4 sylvilagus	S. bachmani	6.7	-22.4	39770	640	39745	35150	580
223500	P23-36907 Spermophilus Box 13 A-3 L3	O. beecheyi	3.7	-21	39815	486	39809	35230	410
223501	P23-36910 Spermophilus Box 13 A-3 L3	O. beecheyi	3.9	-21.2	39861	487	39855	35270	410
191102	P23-31423 Dep1 B-2 L2 sylvilagus	S. audubonii	7.3	-21.3	40046	638	40036	35420	580
191096	P23-18270 Dep1 A-2 L5 sylvilagus	S. bachmani	4.5	-22.5	40067	637	40058	35440	580
216770	HC 142779 Sylvilagus (juv) Pit A  	S. bachmani	6.9	-22.1	40372	607	40377	35740	570
191095	P23-5233 Dep1 B-2 L2 sylvilagus	S. audubonii	8.4	-21.3	40379	640	40385	35750	610
191100	P23-30238 Dep1 B-1 L2 sylvilagus	S. audubonii	7.3	-21.5	40410	628	40416	35780	600
223527	V 2751 Sylvilagus 	Sylvilagus sp	4.5	-21.3	40513	487	40515	35870	450
198202	P23 20172 S. beecheyi Dep. 1 B-1 L8	O. beecheyi	4.4	-21.4	40530	581	40539	35900	560
191098	P23-25476 Dep1 A-2 L4 sylvilagus	S. audubonii	7.4	-21.4	40662	623	40678	36050	630
198204	P23 30796 S. beecheyi Dep. 1 B-2 L4	O. beecheyi	3.8	-21.1	40731	846	40752	36160	910
223506	P23-39812 Sylvilagus Box 13 B-2 L3	Sylvilagus sp	8.2	-21.2	40875	468	40891	36260	470
216764	HC 142764 Sylvilagus Pit 16  	S. audubonii	6.9	-21	40932	582	40955	36350	620
198205	P23 33227 S. beecheyi Dep. 1 B-2 L3	O. beecheyi	7	-20.7	41133	552	41162	36580	610
216763	HC 142763 Sylvilagus Pit 16  	S. audubonii	7.6	-21.4	41382	563	41415	36880	660
223517	P23-40638 Sylvilagus Box 14 	Sylvilagus sp	7.2	-21.4	41406	434	41434	36870	500
223585	P23-35541 Sylvilagus Box 13 B-2 L4	Sylvilagus sp	5.2	-21.4	43079	376	43041	39220	460
223497	P23-36693 Sylvilagus Box 13 B-2 L3	Sylvilagus sp	7	-22	43188	549	43123	39240	670
198294	P23 28902 Sylvilagus Dep. 1 A-1 L7 .28mgC	S. bachmani	5.5	-20.9	43589	676	43526	39700	810
223496	P23-36572 Spermophilus  Box 13 A-3 L3	O. beecheyi	6.2	-20.9	44279	709	44244	40640	800
216768	HC 142773 Sylvilagus Pit A  	S. audubonii	7.8	-21.8	44724	1050	44627	41000	1100
216784	P23 36332 Sylvilagus Dep. 7B B-2 L3	Sylvilagus sp	5.6	-21.7	45239	1212	45104	41500	1200
