UCIAMS_Number,Original_sample_name,Species,Taxon,d15N,d13C,Calibrated_mean_age,Sigma,Cal_median_age,X14C_age_BP,X14C_age_error,pach.d18O_mean,pach.d18O_median,P3_L
216772,V 4516 Spermophilus   ,Otospermophilus,Otospermophilus,3.8,-20.7,2378,31,2362,2375,15,0.519869783,0.520377295,
223494,HC 143517 Sylvilagus ,Sylvilagus sp,Sylvilagus ,6.2,-18.8,2765,23,2759,2650,25,0.420258065,0.422425806,
223493,HC 11584 Spermophilus  Pit 10  E8 9-13.5',Otospermophilus,Otospermophilus,9.9,-18.5,5163,74,5156,4505,20,0.616202765,0.618170507,
216760,HC 11534 Sylvilagus Pit 10 E-8 9ft,S. audubonii,Sylvilagus ,3.6,-20.8,6740,38,6744,5925,20,0.491099707,0.488495601,2.79
223528,V 4509 Spermophilus  Pit 10 ,Otospermophilus,Otospermophilus,4.4,-18.6,7062,59,7059,6155,25,0.310041096,0.309136986,
216761,HC 11587 Spermophilus Pit 10 E-8 9ft,Otospermophilus,Otospermophilus,5.9,-21.1,13034,48,13043,11105,25,1.41516129,1.393096774,
216766,HC 142767 Sylvilagus   ,S. audubonii,Sylvilagus ,7.6,-22,17023,72,17023,13990,40,2.754090909,2.754090909,2.69
216767,HC 142772 Sylvilagus (juv)   ,S. audubonii,Sylvilagus ,4.9,-21.9,17555,126,17530,14390,40,2.843047619,2.702428571,2.35
223513,P23-40634 Sylvilagus Box 14 ,Sylvilagus sp,Sylvilagus ,7.2,-21.3,30114,121,30098,25830,140,2.384642857,2.4195,
198298,P23 33235 S. beecheyi Dep. 14,Otospermophilus,Otospermophilus,7,-20.9,30578,198,30580,26310,150,2.3810625,2.3794375,
223516,P23-40637 Sylvilagus Box 14 B-3 L3,Sylvilagus sp,Sylvilagus ,7.9,-20.9,30991,128,31014,26780,160,2.40709589,2.434917808,
223587,P23-40642 Spermophilus Box 14  .10mgC,Otospermophilus,Otospermophilus,6.4,-20.3,30981,94,30993,26710,110,2.379835616,2.412547945,
223524,V 2641 Sylvilagus  Pit 4  F-4 9-10',Sylvilagus sp,Sylvilagus ,7.2,-20.9,32171,358,32069,28090,180,1.80808377,1.790868852,
223529,V 4519 Spermophilus ,Otospermophilus,Otospermophilus,9.4,-19.3,32519,345,32515,28370,180,2.49916129,2.4823,
217078,V 2174 Sylvilagus Pit 16,S. bachmani,Sylvilagus ,8.2,-22.3,32684,424,32671,28500,240,2.376548387,2.396677419,2.46
