UCIAMS_Number	Deposit	Mean	Median 	SD
 R_Date 198206	1	34458	34454	260
 R_Date 198302	1	34806	34795	274
 R_Date 198207	1	35726	35729	369
 R_Date 198201	1	36571	36492	532
 R_Date 198203	1	37367	37345	774
 R_Date 191099	1	38163	38214	660
 R_Date 198200	1	39649	39625	571
 R_Date 191097	1	39770	39745	640
 R_Date 191102	1	40046	40036	638
 R_Date 191096	1	40067	40058	637
 R_Date 191095	1	40379	40385	640
 R_Date 198199	1	40404	40409	587
 R_Date 191100	1	40410	40416	628
 R_Date 198202	1	40530	40539	581
 R_Date 191098	1	40662	40678	623
 R_Date 198204	1	40731	40752	846
 R_Date 198205	1	41133	41162	552
 R_Date 198294	1	43589	43526	676
 R_Date 191101	1	48345	48507	1123
 R_Date 223507	13	35151	35132	286
 R_Date 223508	13	35872	35879	307
 R_Date 223509	13	36737	36660	460
 R_Date 223505	13	37498	37505	506
 R_Date 223499	13	37878	37934	502
 R_Date 223498	13	39360	39338	437
 R_Date 223500	13	39815	39809	486
 R_Date 223501	13	39861	39855	487
 R_Date 223506	13	40875	40891	468
 R_Date 223495	13	42795	42748	488
 R_Date 223585	13	43079	43041	376
 R_Date 223497	13	43188	43123	549
 R_Date 223496	13	44279	44244	709
 R_Date 223502	13	47495	47439	1147
 R_Date 223503	13	48653	48804	938
R_Date 216781	7	34919	34900	326
 R_Date 216782	7	42892	42814	669
 R_Date 216784	7	45239	45104	1212
 R_Date 216783	7	46371	46221	1395
 R_Date 217079	7	48255	48419	1178
 R_Date 198208	14	29804	29778	261
 R_Date 223513	14	30054	30053	249
 R_Date 198298	14	30615	30633	179
 R_Date 223587	14	30908	30911	99
 R_Date 223516	14	30940	30945	115
 R_Date 223521	14	31018	31022	209
 R_Date 223515	14	31153	31152	110
 R_Date 198297	14	32615	32643	381
 R_Date 223520	14	32877	32898	328
 R_Date 198295	14	37286	37260	535
 R_Date 223517	14	41406	41434	434
 R_Date 223522	14	42602	42572	442
