"","x"
"1",2.14352941176471
"2",1.65
"3",2.26265
"4",1.35428205128205
"5",1.73961016949153
"6",1.70920924261874
"7",2.47271428571429
"8",2.2812
"9",2.40685714285714
"10",2.223
"11",2.36763636363636
"12",2.06372727272727
"13",2.12481818181818
"14",2.23372727272727
"15",2.23181818181818
"16",2.19457142857143
"17",1.53670833333333
"18",2.1083037037037
"19",1.64794117647059
"20",1.64851219512195
"21",2.274
"22",1.51573195876289
"23",1.7196
"24",1.82997946084724
"25",2.322
"26",2.3544
"27",2.41075
"28",1.81610204081633
"29",2.07851470588235
"30",2.097
"31",2.13985714285714
"32",1.50440740740741
"33",1.88161538461538
"34",1.47834615384615
"35",1.55010526315789
"36",2.08227777777778
"37",1.47791578947368
"38",2.2898813559322
"39",1.58773786407767
"40",2.38756451612903
"41",2.50119512195122
"42",2.52704109589041
"43",2.28657142857143
"44",2.28169863013699
"45",2.44204109589041
"46",2.24694047619048
"47",2.31548387096774
"48",2.36306666666667
"49",1.74838461538462
"50",1.98148962655602
"51",2.33382352941176
