"UCIAMS_Number","Museum_Number","prelim_taxon_name","X14C_age_BP","X14C_age_error","del15N_permil","del13C_permil","repeated","Species","Taxon"
191095,"LACMP23-5233","Sylvilagus audubonii","35750",610,8.4,-21.3,"N","S. audubonii","Sylvilagus"
191096,"LACMP23-18270","Sylvilagus bachmani","35440",580,4.5,-22.5,"N","S. bachmani","Sylvilagus"
191097,"LACMP23-22009","Sylvilagus cf bachmani","35150",580,6.7,-22.4,"N","S. bachmani","Sylvilagus"
191098,"LACMP23-25476","Sylvilagus audubonii","36050",630,7.4,-21.4,"N","S. audubonii","Sylvilagus"
191099,"LACMP23-28903","Sylvilagus cf audubonii","33830",480,9.1,-21.1,"N","S. audubonii","Sylvilagus"
191100,"LACMP23-30238","Sylvilagus audubonii","35780",600,7.3,-21.5,"N","S. audubonii","Sylvilagus"
191101,"LACMP23-31269","Sylvilagus audubonii","46200",2200,8.1,-20.5,"N","S. audubonii","Sylvilagus"
191102,"LACMP23-31423","Sylvilagus ?audubonii","35420",580,7.3,-21.3,"N","S. audubonii","Sylvilagus"
198205,"LACMP23-33227","Otospermophilus beecheyi","36580",610,7,-20.7,"N","Otospermophilus","Otospermophilus"
198207,"LACMP23-33229","Otospermophilus beecheyi","31830",340,8.5,-20.9,"N","Otospermophilus","Otospermophilus"
198294,"LACMP23-28902","Sylvilagus bachmani","39700",810,5.5,-20.9,"N","S. bachmani","Sylvilagus"
198295,"LACMP23-31113","?Otospermophilus beecheyi","33070",350,8.8,-20.8,"N","Otospermophilus","Otospermophilus"
198296,"LACMP23-31118","?Otospermophilus beecheyi","47400",2000,3.2,-19.3,"N","Otospermophilus","Otospermophilus"
198298,"LACMP23-33235","Otospermophilus beecheyi","26310",150,7,-20.9,"N","Otospermophilus","Otospermophilus"
216760,"LACMHC-11534","Sylvilagus audubonii","5925",20,3.6,-20.8,"N","S. audubonii","Sylvilagus"
216761,"LACMHC-11587","?Otospermophilus beecheyi","11105",25,5.9,-21.1,"N","Otospermophilus","Otospermophilus"
