"UCIAMS_Number","Species","Taxon","del15N_permil","del13C_permil","X14C_age_BP","X14C_age_error","specimen_wage","specimen_wd18O_hendy","specimen_wd18O_ngrip","median_age","d18O_hendy","d18O_ngrip","time_group"
191095,"S. audubonii","Sylvilagus",8.4,-21.3,"35750",610,-38872.5345897346,2.1734285036348,-42.3078604879998,40844,1.93816666666667,-43.1848,"Pleistocene"
191096,"S. bachmani","Sylvilagus",4.5,-22.5,"35440",580,-38604.4329240457,2.08232729299192,-41.6826382609009,40567,2.1285,-42.2879,"Pleistocene"
191097,"S. bachmani","Sylvilagus",6.7,-22.4,"35150",580,-38360.8722168128,1.99814102907796,-41.0230699237702,40310,2.10877272727273,-41.677,"Pleistocene"
191098,"S. audubonii","Sylvilagus",7.4,-21.4,"36050",630,-39128.1167278416,2.24410878854673,-42.7265932018903,41105,1.60704166666667,-41.9585,"Pleistocene"
191099,"S. audubonii","Sylvilagus",9.1,-21.1,"33830",480,-36731.135720824,1.77279909088996,-41.2140357926964,38726,2.27452,-43,"Pleistocene"
191100,"S. audubonii","Sylvilagus",7.3,-21.5,"35780",600,-38900.1538525699,2.1835871933815,-42.3789043937389,40872,1.87659183673469,-43.242,"Pleistocene"
191101,"S. audubonii","Sylvilagus",8.1,-20.5,"46200",2200,-47806.1315023519,1.82867494818896,-40.8962551558429,49500,1.66918181818182,-40.26,"Pleistocene"
191102,"S. audubonii","Sylvilagus",7.3,-21.3,"35420",580,-38587.4398464335,2.07619493478836,-41.6361923183166,40549,2.205,-42.3101,"Pleistocene"
198205,"Otospermophilus","Otospermophilus",7,-20.7,"36580",610,-39526.9773803293,2.30539805331547,-42.9835387443608,41504,1.95428985507246,-39.68,"Pleistocene"
198207,"Otospermophilus","Otospermophilus",8.5,-20.9,"31830",340,-34232.7459662321,2.09670149307711,-42.1868139009737,36182,2.41547826086957,-43.0766,"Pleistocene"
198294,"S. bachmani","Sylvilagus",5.5,-20.9,"39700",810,-41357.5379058196,1.8891479606575,-41.8844889670478,43214,2.00396296296296,-39.3712,"Pleistocene"
198295,"Otospermophilus","Otospermophilus",8.8,-20.8,"33070",350,-35857.6995935095,1.88538825733617,-41.7950032567237,37738,1.91451861360719,-38.8582,"Pleistocene"
198296,"Otospermophilus","Otospermophilus",3.2,-19.3,"47400",2000,-48793.0321237014,1.78551536536852,-40.8760062922403,50622,1.49746153846154,-40.641,"Pleistocene"
198298,"Otospermophilus","Otospermophilus",7,-20.9,"26310",150,-28627.6415475085,2.44307805274939,-42.8017004176465,30580,2.3794375,-44.051,"Pleistocene"
216760,"S. audubonii","Sylvilagus",3.6,-20.8,"5925",20,-4789.75498896007,0.560585137641963,-34.7241404163364,6744,0.488495601173021,-34.681,"Holocene"
216761,"Otospermophilus","Otospermophilus",5.9,-21.1,"11105",25,-11083.8099018078,0.936587796769276,-36.9585032481931,13043,1.39309677419355,-39.7036,"Pleistocene"
216762,"Otospermophilus","Otospermophilus",4.5,-21.2,"43700",1600,-45081.8777062491,1.9136291510141,-41.0891663567609,46660,1.76402721088435,-38.815,"Pleistocene"
216763,"S. audubonii","Sylvilagus",7.6,-21.4,"36880",660,-39689.322937494,2.29029382381588,-42.8355731542622,41667,1.97314583333333,-39.5205,"Pleistocene"
216764,"S. audubonii","Sylvilagus",6.9,-21,"36350",620,-39367.7585972958,2.29177099744386,-42.958321449323,41346,1.83689211618257,-40.0782,"Pleistocene"
216765,"S. audubonii","Sylvilagus",8.4,-21.3,"28600",240,-30867.4844461553,2.33216375061162,-43.5997378159823,32838,2.401,-43.7054,"Pleistocene"
216766,"S. audubonii","Sylvilagus",7.6,-22,"13990",40,-15072.6085560409,1.90543093872198,-42.169040281522,17023,2.75409090909091,-41.1775,"Pleistocene"
216767,"S. audubonii","Sylvilagus",4.9,-21.9,"14390",40,-15604.4561248123,2.18654561328692,-42.4120803654832,17530,2.70242857142857,-42.174,"Pleistocene"
216769,"S. audubonii","Sylvilagus",5.2,-21.3,"42900",1400,-44105.3671684404,1.93564763258317,-41.1502406669192,45791,2.51774193548387,-40.6138,"Pleistocene"
216771,"S. audubonii","Sylvilagus",6.9,-22.5,"30320",290,-32838.7298644464,2.2566531417129,-43.2537947147375,34760,1.68120547945205,-40.993,"Pleistocene"
216772,"Otospermophilus","Otospermophilus",3.8,-20.7,"2375",15,-427.230931910684,0.334187528258483,-35.3920870124005,2362,0.520377295492487,-35.081,"Holocene"
216773,"Otospermophilus","Otospermophilus",6.3,-20.4,"31340",330,-33770.3187599166,2.21184725875607,-42.2173842394958,35727,2.2615,-44.2693,"Pleistocene"
216779,"Otospermophilus","Otospermophilus",5.3,-20.7,"31000",320,-33436.0684778616,2.14123612226639,-41.8807595938791,35386,1.66157142857143,-42.2768,"Pleistocene"
216780,"Otospermophilus","Otospermophilus",4.5,-21.4,"30900",320,-33325.5826587865,2.13885223909654,-41.9403377794305,35269,1.69863265306122,-38.9102,"Pleistocene"
216781,"Otospermophilus","Otospermophilus",6.6,-21.5,"30970",320,-33402.5730268776,2.1390402138577,-41.8885848375982,35351,1.418,-41.2688,"Pleistocene"
216783,"Leporidae","Sylvilagus",4.9,-21.6,"42600",1400,-43825.6368617501,1.94073526955207,-41.1666684835889,45531,2.1758,-40.7187,"Pleistocene"
216784,"Sylvilagus sp","Sylvilagus",5.6,-21.7,"41500",1200,-42658.3158873896,1.94534760774033,-41.308506658058,44489,1.89947058823529,-43.2769,"Pleistocene"
216785,"Sylvilagus sp","Sylvilagus",5.3,-22.1,"50200",3500,-49916.6310905721,1.75119213923596,-40.788109821941,52105,1.73165048543689,-40.8585,"Pleistocene"
217078,"S. bachmani","Sylvilagus",8.2,-22.3,"28500",240,-30733.0314884604,2.35654463470694,-43.6235281880196,32671,2.39667741935484,-44.0343,"Pleistocene"
